NAME,Total Households,Total Households with No Vehicle Available,Total Households with 1 Vehicle Available,Total Households with 2 Vehicles Available,Total Households with 3 Vehicles Available,Total Households with 4 or More Vehicles Available,Total 1-Person Households,1-Person Households with No Vehicle Available,1-Person Households with 1 Vehicle Available,1-Person Households with 2 Vehicles Available,1-Person Households with 3 Vehicles Available,1-Person Households with 4 or More Vehicles Available,Total 2-Person Households,2-Person Households with No Vehicle Available,2-Person Households with 1 Vehicle Available,2-Person Households with 2 Vehicles Available,2-Person Households with 3 Vehicles Available,2-Person Households with 4 or More Vehicles Available,Total 3-Person Households,3-Person Households with No Vehicle Available,3-Person Households with 1 Vehicle Available,3-Person Households with 2 Vehicles Available,3-Person Households with 3 Vehicles Available,3-Person Households with 4 or More Vehicles Available,Total 4-or-More-Person Households,4-or-More-Person Households with No Vehicle Available,4-or-More-Person Households with 1 Vehicle Available,4-or-More-Person Households with 2 Vehicles Available,4-or-More-Person Households with 3 Vehicles Available,state,county,tract,Census Tract,County,pct_no_vehicle,pct_fewer_vehicles
Census Tract 101; Guilford County; North Carolina,646.0,133.0,176.0,210.0,62.0,65.0,162.0,65.0,63.0,28.0,6.0,0.0,270.0,33.0,63.0,144.0,30.0,0.0,42.0,6.0,20.0,6.0,10.0,0.0,172.0,29.0,30.0,32.0,16.0,37,081,010100,101,Guilford County,20.588235294117645,43.962848297213625
Census Tract 102; Guilford County; North Carolina,2247.0,350.0,1040.0,636.0,167.0,54.0,1199.0,316.0,842.0,21.0,20.0,0.0,519.0,34.0,152.0,306.0,27.0,0.0,192.0,0.0,46.0,16.0,101.0,29.0,337.0,0.0,0.0,293.0,19.0,37,081,010200,102,Guilford County,15.57632398753894,38.13974187805964
Census Tract 103; Guilford County; North Carolina,983.0,98.0,369.0,357.0,104.0,55.0,290.0,54.0,191.0,9.0,27.0,9.0,300.0,44.0,68.0,159.0,29.0,0.0,157.0,0.0,57.0,68.0,25.0,7.0,236.0,0.0,53.0,121.0,23.0,37,081,010300,103,Guilford County,9.969481180061038,47.30417090539166
Census Tract 104.01; Guilford County; North Carolina,749.0,10.0,393.0,258.0,34.0,54.0,365.0,0.0,309.0,56.0,0.0,0.0,252.0,10.0,58.0,142.0,19.0,23.0,71.0,0.0,9.0,27.0,8.0,27.0,61.0,0.0,17.0,33.0,7.0,37,081,010401,104.01,Guilford County,1.335113484646195,20.560747663551403
Census Tract 104.03; Guilford County; North Carolina,804.0,35.0,381.0,257.0,131.0,0.0,366.0,13.0,332.0,17.0,4.0,0.0,293.0,1.0,42.0,171.0,79.0,0.0,69.0,0.0,0.0,30.0,39.0,0.0,76.0,21.0,7.0,39.0,9.0,37,081,010403,104.03,Guilford County,4.353233830845771,19.029850746268657
Census Tract 104.04; Guilford County; North Carolina,1023.0,0.0,175.0,430.0,297.0,121.0,223.0,0.0,159.0,35.0,29.0,0.0,522.0,0.0,16.0,330.0,132.0,44.0,78.0,0.0,0.0,20.0,48.0,10.0,200.0,0.0,0.0,45.0,88.0,37,081,010404,104.04,Guilford County,0.0,7.9178885630498534
Census Tract 105; Guilford County; North Carolina,1130.0,55.0,586.0,347.0,105.0,37.0,563.0,55.0,478.0,22.0,8.0,0.0,335.0,0.0,94.0,186.0,49.0,6.0,120.0,0.0,7.0,78.0,16.0,19.0,112.0,0.0,7.0,61.0,32.0,37,081,010500,105,Guilford County,4.867256637168142,26.72566371681416
Census Tract 106.01; Guilford County; North Carolina,1310.0,19.0,614.0,503.0,101.0,73.0,568.0,18.0,511.0,30.0,0.0,9.0,471.0,1.0,60.0,363.0,47.0,0.0,210.0,0.0,43.0,59.0,44.0,64.0,61.0,0.0,0.0,51.0,10.0,37,081,010601,106.01,Guilford County,1.450381679389313,17.709923664122137
Census Tract 106.02; Guilford County; North Carolina,1597.0,109.0,426.0,705.0,118.0,239.0,446.0,69.0,337.0,40.0,0.0,0.0,401.0,0.0,65.0,310.0,0.0,26.0,360.0,0.0,0.0,267.0,17.0,76.0,390.0,40.0,24.0,88.0,101.0,37,081,010602,106.02,Guilford County,6.825297432686287,34.62742642454602
Census Tract 107.01; Guilford County; North Carolina,783.0,97.0,362.0,270.0,50.0,4.0,375.0,37.0,318.0,20.0,0.0,0.0,261.0,60.0,27.0,153.0,17.0,4.0,64.0,0.0,13.0,26.0,25.0,0.0,83.0,0.0,4.0,71.0,8.0,37,081,010701,107.01,Guilford County,12.388250319284802,30.395913154533844
Census Tract 107.02; Guilford County; North Carolina,982.0,84.0,441.0,304.0,39.0,114.0,459.0,55.0,352.0,44.0,0.0,8.0,280.0,23.0,51.0,191.0,10.0,5.0,162.0,6.0,38.0,59.0,29.0,30.0,81.0,0.0,0.0,10.0,0.0,37,081,010702,107.02,Guilford County,8.55397148676171,24.643584521384927
