NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,pct_poverty,Census Tract,County
Census Tract 101; Guilford County; North Carolina,1740.0,433.0,48.0,56.0,33.0,218.0,31.0,37.0,10.0,1307.0,58.0,80.0,162.0,847.0,141.0,18.0,1.0,37,081,010100,24.885057471264368,101,Guilford County
Census Tract 102; Guilford County; North Carolina,4452.0,829.0,67.0,77.0,35.0,367.0,246.0,37.0,0.0,3623.0,446.0,451.0,88.0,1958.0,439.0,222.0,19.0,37,081,010200,18.62084456424079,102,Guilford County
Census Tract 103; Guilford County; North Carolina,2652.0,637.0,16.0,116.0,75.0,313.0,93.0,24.0,0.0,2015.0,183.0,228.0,112.0,1260.0,187.0,35.0,10.0,37,081,010300,24.019607843137255,103,Guilford County
Census Tract 104.01; Guilford County; North Carolina,1361.0,115.0,9.0,0.0,18.0,61.0,17.0,0.0,10.0,1246.0,54.0,86.0,31.0,682.0,335.0,50.0,8.0,37,081,010401,8.449669360764144,104.01,Guilford County
Census Tract 104.03; Guilford County; North Carolina,1479.0,104.0,0.0,0.0,11.0,72.0,21.0,0.0,0.0,1375.0,49.0,92.0,71.0,933.0,183.0,37.0,10.0,37,081,010403,7.031778228532792,104.03,Guilford County
Census Tract 104.04; Guilford County; North Carolina,2638.0,87.0,0.0,0.0,0.0,8.0,72.0,0.0,7.0,2551.0,56.0,183.0,348.0,1123.0,660.0,168.0,13.0,37,081,010404,3.2979529946929493,104.04,Guilford County
Census Tract 105; Guilford County; North Carolina,2207.0,72.0,0.0,8.0,6.0,44.0,0.0,14.0,0.0,2135.0,75.0,83.0,267.0,1059.0,508.0,47.0,96.0,37,081,010500,3.262347077480743,105,Guilford County
Census Tract 106.01; Guilford County; North Carolina,2454.0,355.0,104.0,0.0,21.0,208.0,5.0,10.0,7.0,2099.0,63.0,69.0,54.0,1410.0,416.0,64.0,23.0,37,081,010601,14.466177669111655,106.01,Guilford County
Census Tract 106.02; Guilford County; North Carolina,4279.0,1112.0,0.0,0.0,0.0,1105.0,7.0,0.0,0.0,3167.0,162.0,366.0,219.0,2209.0,178.0,30.0,3.0,37,081,010602,25.987380229025476,106.02,Guilford County
Census Tract 107.01; Guilford County; North Carolina,1524.0,207.0,15.0,28.0,6.0,128.0,18.0,7.0,5.0,1317.0,94.0,49.0,22.0,769.0,239.0,22.0,122.0,37,081,010701,13.582677165354331,107.01,Guilford County
Census Tract 107.02; Guilford County; North Carolina,1870.0,754.0,2.0,0.0,5.0,747.0,0.0,0.0,0.0,1116.0,14.0,2.0,0.0,937.0,149.0,14.0,0.0,37,081,010702,40.32085561497326,107.02,Guilford County
Census Tract 108; Guilford County; North Carolina,2327.0,527.0,0.0,0.0,0.0,194.0,282.0,37.0,14.0,1800.0,52.0,11.0,47.0,1316.0,263.0,90.0,21.0,37,081,010800,22.64718521701762,108,Guilford County
Census Tract 109; Guilford County; North Carolina,1787.0,583.0,0.0,32.0,36.0,420.0,89.0,0.0,6.0,1204.0,39.0,57.0,20.0,841.0,203.0,27.0,17.0,37,081,010900,32.62451035254617,109,Guilford County
Census Tract 110; Guilford County; North Carolina,1662.0,838.0,121.0,160.0,92.0,438.0,27.0,0.0,0.0,824.0,0.0,59.0,62.0,486.0,138.0,45.0,34.0,37,081,011000,50.42117930204573,110,Guilford County
Census Tract 111.01; Guilford County; North Carolina,3725.0,1180.0,163.0,175.0,95.0,545.0,69.0,95.0,38.0,2545.0,142.0,189.0,153.0,1566.0,389.0,50.0,56.0,37,081,011101,31.67785234899329,111.01,Guilford County
Census Tract 111.02; Guilford County; North Carolina,2777.0,519.0,110.0,155.0,49.0,185.0,2.0,18.0,0.0,2258.0,26.0,297.0,110.0,882.0,762.0,84.0,97.0,37,081,011102,18.689232985235865,111.02,Guilford County
Census Tract 112.01; Guilford County; North Carolina,2317.0,981.0,0.0,96.0,33.0,633.0,219.0,0.0,0.0,1336.0,38.0,62.0,60.0,849.0,285.0,27.0,15.0,37,081,011201,42.33923176521364,112.01,Guilford County
Census Tract 112.02; Guilford County; North Carolina,3356.0,1679.0,251.0,407.0,264.0,659.0,84.0,14.0,0.0,1677.0,58.0,177.0,80.0,919.0,271.0,25.0,147.0,37,081,011202,50.029797377830754,112.02,Guilford County
Census Tract 113; Guilford County; North Carolina,3515.0,970.0,56.0,175.0,157.0,330.0,123.0,61.0,68.0,2545.0,246.0,132.0,78.0,1604.0,347.0,38.0,100.0,37,081,011300,27.59601706970128,113,Guilford County
Census Tract 114; Guilford County; North Carolina,5307.0,2123.0,313.0,238.0,236.0,1122.0,117.0,76.0,21.0,3184.0,356.0,382.0,415.0,1551.0,311.0,159.0,10.0,37,081,011400,40.00376860749953,114,Guilford County
Census Tract 115; Guilford County; North Carolina,2812.0,1386.0,174.0,165.0,69.0,813.0,165.0,0.0,0.0,1426.0,32.0,30.0,69.0,824.0,268.0,62.0,141.0,37,081,011500,49.28876244665719,115,Guilford County
Census Tract 116.01; Guilford County; North Carolina,3023.0,805.0,87.0,46.0,41.0,518.0,81.0,5.0,27.0,2218.0,43.0,364.0,182.0,1373.0,194.0,43.0,19.0,37,081,011601,26.629176314918958,116.01,Guilford County
Census Tract 116.02; Guilford County; North Carolina,2206.0,589.0,66.0,41.0,82.0,243.0,124.0,33.0,0.0,1617.0,69.0,34.0,139.0,1141.0,196.0,33.0,5.0,37,081,011602,26.69990933816863,116.02,Guilford County
Census Tract 119.04; Guilford County; North Carolina,5387.0,1039.0,146.0,25.0,58.0,630.0,162.0,18.0,0.0,4348.0,462.0,408.0,370.0,2680.0,386.0,30.0,12.0,37,081,011904,19.287172823463894,119.04,Guilford County
Census Tract 119.05; Guilford County; North Carolina,4972.0,1052.0,251.0,114.0,90.0,422.0,140.0,23.0,12.0,3920.0,297.0,399.0,288.0,2295.0,511.0,125.0,5.0,37,081,011905,21.158487530168944,119.05,Guilford County
Census Tract 125.03; Guilford County; North Carolina,4088.0,350.0,11.0,10.0,9.0,281.0,39.0,0.0,0.0,3738.0,233.0,454.0,239.0,1947.0,520.0,228.0,117.0,37,081,012503,8.561643835616438,125.03,Guilford County
Census Tract 125.04; Guilford County; North Carolina,3405.0,858.0,89.0,140.0,100.0,460.0,62.0,0.0,7.0,2547.0,79.0,197.0,216.0,1425.0,456.0,147.0,27.0,37,081,012504,25.198237885462554,125.04,Guilford County
Census Tract 125.05; Guilford County; North Carolina,3918.0,29.0,0.0,0.0,0.0,11.0,6.0,5.0,7.0,3889.0,268.0,244.0,271.0,1813.0,1013.0,235.0,45.0,37,081,012505,0.7401735579377233,125.05,Guilford County
Census Tract 125.08; Guilford County; North Carolina,2975.0,381.0,34.0,17.0,24.0,208.0,67.0,5.0,26.0,2594.0,145.0,180.0,227.0,1283.0,499.0,167.0,93.0,37,081,012508,12.806722689075631,125.08,Guilford County
Census Tract 125.09; Guilford County; North Carolina,2356.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0,2341.0,116.0,99.0,266.0,997.0,494.0,266.0,103.0,37,081,012509,0.6366723259762309,125.09,Guilford County
Census Tract 125.10; Guilford County; North Carolina,3542.0,201.0,12.0,15.0,0.0,42.0,58.0,74.0,0.0,3341.0,136.0,195.0,350.0,1542.0,870.0,196.0,52.0,37,081,012510,5.67476002258611,125.10,Guilford County
Census Tract 125.11; Guilford County; North Carolina,5132.0,102.0,0.0,0.0,0.0,24.0,13.0,53.0,12.0,5030.0,490.0,209.0,747.0,2127.0,881.0,489.0,87.0,37,081,012511,1.9875292283710055,125.11,Guilford County
Census Tract 126.04; Guilford County; North Carolina,3899.0,1096.0,103.0,180.0,199.0,521.0,57.0,36.0,0.0,2803.0,236.0,161.0,201.0,1401.0,558.0,118.0,128.0,37,081,012604,28.109771736342655,126.04,Guilford County
Census Tract 126.07; Guilford County; North Carolina,3074.0,1024.0,5.0,124.0,270.0,359.0,266.0,0.0,0.0,2050.0,141.0,151.0,148.0,1267.0,305.0,38.0,0.0,37,081,012607,33.31164606376058,126.07,Guilford County
Census Tract 126.08; Guilford County; North Carolina,2473.0,1089.0,61.0,305.0,119.0,492.0,96.0,16.0,0.0,1384.0,21.0,86.0,77.0,1095.0,105.0,0.0,0.0,37,081,012608,44.03558431055398,126.08,Guilford County
Census Tract 126.10; Guilford County; North Carolina,2980.0,254.0,43.0,14.0,20.0,114.0,41.0,22.0,0.0,2726.0,191.0,339.0,93.0,1488.0,478.0,90.0,47.0,37,081,012610,8.523489932885905,126.10,Guilford County
Census Tract 126.11; Guilford County; North Carolina,4201.0,419.0,27.0,59.0,65.0,229.0,6.0,33.0,0.0,3782.0,331.0,223.0,300.0,2575.0,199.0,154.0,0.0,37,081,012611,9.97381575815282,126.11,Guilford County
Census Tract 126.12; Guilford County; North Carolina,6638.0,2374.0,282.0,559.0,453.0,715.0,264.0,101.0,0.0,4264.0,134.0,146.0,75.0,2707.0,1014.0,154.0,34.0,37,081,012612,35.7637842723712,126.12,Guilford County
Census Tract 126.17; Guilford County; North Carolina,3818.0,503.0,91.0,133.0,14.0,193.0,71.0,1.0,0.0,3315.0,195.0,420.0,309.0,1820.0,400.0,136.0,35.0,37,081,012617,13.174436877946569,126.17,Guilford County
Census Tract 126.18; Guilford County; North Carolina,4228.0,1166.0,1.0,187.0,0.0,932.0,46.0,0.0,0.0,3062.0,95.0,129.0,362.0,2027.0,158.0,81.0,210.0,37,081,012618,27.57805108798486,126.18,Guilford County
Census Tract 126.19; Guilford County; North Carolina,3798.0,1336.0,69.0,273.0,240.0,741.0,0.0,0.0,13.0,2462.0,149.0,21.0,45.0,1522.0,356.0,266.0,103.0,37,081,012619,35.17640863612427,126.19,Guilford County
Census Tract 126.20; Guilford County; North Carolina,3629.0,919.0,245.0,39.0,18.0,407.0,164.0,25.0,21.0,2710.0,169.0,306.0,183.0,1675.0,364.0,13.0,0.0,37,081,012620,25.323780655828052,126.20,Guilford County
