NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,Census Tract,County
Census Tract 101; Guilford County; North Carolina,988.0,332.0,48.0,48.0,27.0,144.0,28.0,27.0,10.0,656.0,28.0,34.0,74.0,401.0,105.0,14.0,0.0,37,081,010100,101,Guilford County
Census Tract 102; Guilford County; North Carolina,2657.0,615.0,67.0,37.0,35.0,220.0,219.0,37.0,0.0,2042.0,382.0,400.0,68.0,1022.0,93.0,77.0,0.0,37,081,010200,102,Guilford County
Census Tract 103; Guilford County; North Carolina,1303.0,414.0,6.0,105.0,75.0,182.0,46.0,0.0,0.0,889.0,83.0,91.0,86.0,490.0,127.0,12.0,0.0,37,081,010300,103,Guilford County
Census Tract 104.01; Guilford County; North Carolina,116.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,2.0,62.0,34.0,0.0,0.0,37,081,010401,104.01,Guilford County
Census Tract 104.03; Guilford County; North Carolina,310.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,309.0,0.0,58.0,51.0,200.0,0.0,0.0,0.0,37,081,010403,104.03,Guilford County
Census Tract 104.04; Guilford County; North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,081,010404,104.04,Guilford County
Census Tract 105; Guilford County; North Carolina,247.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,239.0,0.0,54.0,0.0,107.0,78.0,0.0,0.0,37,081,010500,105,Guilford County
Census Tract 106.01; Guilford County; North Carolina,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,14.0,0.0,0.0,227.0,12.0,0.0,0.0,37,081,010601,106.01,Guilford County
Census Tract 106.02; Guilford County; North Carolina,745.0,445.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,300.0,0.0,0.0,22.0,278.0,0.0,0.0,0.0,37,081,010602,106.02,Guilford County
Census Tract 107.01; Guilford County; North Carolina,97.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,75.0,11.0,0.0,0.0,37,081,010701,107.01,Guilford County
Census Tract 107.02; Guilford County; North Carolina,613.0,423.0,0.0,0.0,0.0,423.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,37,081,010702,107.02,Guilford County
Census Tract 108; Guilford County; North Carolina,423.0,297.0,0.0,0.0,0.0,26.0,234.0,37.0,0.0,126.0,17.0,0.0,0.0,61.0,29.0,19.0,0.0,37,081,010800,108,Guilford County
Census Tract 109; Guilford County; North Carolina,765.0,459.0,0.0,32.0,36.0,318.0,73.0,0.0,0.0,306.0,0.0,0.0,0.0,258.0,31.0,0.0,17.0,37,081,010900,109,Guilford County
Census Tract 110; Guilford County; North Carolina,1241.0,611.0,79.0,94.0,53.0,358.0,27.0,0.0,0.0,630.0,0.0,0.0,62.0,391.0,114.0,45.0,18.0,37,081,011000,110,Guilford County
Census Tract 111.01; Guilford County; North Carolina,2938.0,832.0,163.0,68.0,39.0,400.0,57.0,67.0,38.0,2106.0,100.0,152.0,115.0,1265.0,368.0,50.0,56.0,37,081,011101,111.01,Guilford County
Census Tract 111.02; Guilford County; North Carolina,2296.0,442.0,110.0,107.0,49.0,156.0,2.0,18.0,0.0,1854.0,26.0,100.0,110.0,777.0,660.0,84.0,97.0,37,081,011102,111.02,Guilford County
Census Tract 112.01; Guilford County; North Carolina,1648.0,940.0,0.0,96.0,33.0,592.0,219.0,0.0,0.0,708.0,38.0,10.0,0.0,368.0,265.0,27.0,0.0,37,081,011201,112.01,Guilford County
Census Tract 112.02; Guilford County; North Carolina,2958.0,1636.0,251.0,407.0,264.0,616.0,84.0,14.0,0.0,1322.0,58.0,145.0,30.0,669.0,248.0,25.0,147.0,37,081,011202,112.02,Guilford County
Census Tract 113; Guilford County; North Carolina,2816.0,864.0,0.0,175.0,157.0,282.0,123.0,59.0,68.0,1952.0,195.0,132.0,78.0,1090.0,347.0,38.0,72.0,37,081,011300,113,Guilford County
Census Tract 114; Guilford County; North Carolina,3755.0,1358.0,313.0,135.0,0.0,718.0,117.0,54.0,21.0,2397.0,205.0,261.0,295.0,1190.0,307.0,129.0,10.0,37,081,011400,114,Guilford County
Census Tract 115; Guilford County; North Carolina,1645.0,920.0,148.0,139.0,48.0,492.0,93.0,0.0,0.0,725.0,32.0,0.0,55.0,578.0,19.0,41.0,0.0,37,081,011500,115,Guilford County
Census Tract 116.01; Guilford County; North Carolina,1197.0,433.0,22.0,37.0,0.0,327.0,47.0,0.0,0.0,764.0,0.0,182.0,13.0,488.0,73.0,8.0,0.0,37,081,011601,116.01,Guilford County
Census Tract 116.02; Guilford County; North Carolina,540.0,219.0,0.0,0.0,64.0,74.0,50.0,31.0,0.0,321.0,0.0,20.0,40.0,235.0,17.0,9.0,0.0,37,081,011602,116.02,Guilford County
Census Tract 119.04; Guilford County; North Carolina,3107.0,481.0,11.0,25.0,24.0,391.0,30.0,0.0,0.0,2626.0,272.0,233.0,302.0,1581.0,215.0,11.0,12.0,37,081,011904,119.04,Guilford County
Census Tract 119.05; Guilford County; North Carolina,2673.0,267.0,17.0,11.0,30.0,117.0,80.0,0.0,12.0,2406.0,221.0,207.0,189.0,1380.0,319.0,90.0,0.0,37,081,011905,119.05,Guilford County
Census Tract 125.03; Guilford County; North Carolina,684.0,119.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,565.0,0.0,52.0,119.0,309.0,62.0,15.0,8.0,37,081,012503,125.03,Guilford County
Census Tract 125.04; Guilford County; North Carolina,1922.0,716.0,89.0,127.0,84.0,347.0,62.0,0.0,7.0,1206.0,22.0,90.0,138.0,858.0,97.0,1.0,0.0,37,081,012504,125.04,Guilford County
Census Tract 125.05; Guilford County; North Carolina,118.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,111.0,0.0,0.0,22.0,56.0,33.0,0.0,0.0,37,081,012505,125.05,Guilford County
Census Tract 125.08; Guilford County; North Carolina,183.0,129.0,27.0,0.0,0.0,71.0,5.0,0.0,26.0,54.0,0.0,0.0,0.0,42.0,12.0,0.0,0.0,37,081,012508,125.08,Guilford County
Census Tract 125.09; Guilford County; North Carolina,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,22.0,47.0,20.0,0.0,37,081,012509,125.09,Guilford County
Census Tract 125.10; Guilford County; North Carolina,218.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,211.0,0.0,0.0,0.0,99.0,112.0,0.0,0.0,37,081,012510,125.10,Guilford County
Census Tract 125.11; Guilford County; North Carolina,162.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,158.0,13.0,22.0,0.0,75.0,37.0,11.0,0.0,37,081,012511,125.11,Guilford County
Census Tract 126.04; Guilford County; North Carolina,1626.0,277.0,0.0,32.0,0.0,241.0,4.0,0.0,0.0,1349.0,14.0,60.0,115.0,635.0,412.0,83.0,30.0,37,081,012604,126.04,Guilford County
Census Tract 126.07; Guilford County; North Carolina,1252.0,699.0,0.0,64.0,268.0,296.0,71.0,0.0,0.0,553.0,29.0,33.0,51.0,427.0,13.0,0.0,0.0,37,081,012607,126.07,Guilford County
Census Tract 126.08; Guilford County; North Carolina,1272.0,386.0,61.0,68.0,0.0,176.0,65.0,16.0,0.0,886.0,21.0,8.0,21.0,757.0,79.0,0.0,0.0,37,081,012608,126.08,Guilford County
Census Tract 126.10; Guilford County; North Carolina,1414.0,25.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,1389.0,132.0,214.0,53.0,790.0,138.0,56.0,6.0,37,081,012610,126.10,Guilford County
Census Tract 126.11; Guilford County; North Carolina,2458.0,362.0,27.0,59.0,65.0,172.0,6.0,33.0,0.0,2096.0,124.0,55.0,7.0,1683.0,130.0,97.0,0.0,37,081,012611,126.11,Guilford County
