NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,Census Tract,County
Census Tract 101; Guilford County; North Carolina,320.0,47.0,0.0,8.0,6.0,33.0,0.0,0.0,0.0,273.0,0.0,29.0,32.0,203.0,5.0,4.0,0.0,37,081,010100,101,Guilford County
Census Tract 102; Guilford County; North Carolina,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,22.0,0.0,0.0,23.0,0.0,58.0,0.0,37,081,010200,102,Guilford County
Census Tract 103; Guilford County; North Carolina,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,27.0,121.0,0.0,186.0,0.0,0.0,0.0,37,081,010300,103,Guilford County
Census Tract 104.01; Guilford County; North Carolina,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,19.0,9.0,0.0,50.0,0.0,0.0,0.0,37,081,010401,104.01,Guilford County
Census Tract 104.03; Guilford County; North Carolina,66.0,29.0,0.0,0.0,8.0,21.0,0.0,0.0,0.0,37.0,0.0,5.0,0.0,32.0,0.0,0.0,0.0,37,081,010403,104.03,Guilford County
Census Tract 104.04; Guilford County; North Carolina,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,30.0,32.0,0.0,0.0,37,081,010404,104.04,Guilford County
Census Tract 105; Guilford County; North Carolina,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,9.0,22.0,18.0,23.0,0.0,0.0,0.0,37,081,010500,105,Guilford County
Census Tract 106.01; Guilford County; North Carolina,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,13.0,44.0,0.0,0.0,0.0,37,081,010601,106.01,Guilford County
Census Tract 106.02; Guilford County; North Carolina,932.0,91.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,841.0,55.0,277.0,3.0,506.0,0.0,0.0,0.0,37,081,010602,106.02,Guilford County
Census Tract 107.01; Guilford County; North Carolina,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,37,081,010701,107.01,Guilford County
Census Tract 107.02; Guilford County; North Carolina,81.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,55.0,10.0,0.0,0.0,37,081,010702,107.02,Guilford County
Census Tract 108; Guilford County; North Carolina,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,37,081,010800,108,Guilford County
Census Tract 109; Guilford County; North Carolina,51.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,45.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,37,081,010900,109,Guilford County
Census Tract 110; Guilford County; North Carolina,358.0,231.0,59.0,66.0,39.0,67.0,0.0,0.0,0.0,127.0,0.0,59.0,0.0,68.0,0.0,0.0,0.0,37,081,011000,110,Guilford County
Census Tract 111.01; Guilford County; North Carolina,450.0,291.0,0.0,107.0,56.0,128.0,0.0,0.0,0.0,159.0,30.0,0.0,0.0,108.0,21.0,0.0,0.0,37,081,011101,111.01,Guilford County
Census Tract 111.02; Guilford County; North Carolina,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,197.0,0.0,76.0,0.0,0.0,0.0,37,081,011102,111.02,Guilford County
Census Tract 112.01; Guilford County; North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,081,011201,112.01,Guilford County
Census Tract 112.02; Guilford County; North Carolina,282.0,43.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,239.0,0.0,32.0,50.0,157.0,0.0,0.0,0.0,37,081,011202,112.02,Guilford County
