NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,Census Tract,County
Census Tract 101; Guilford County; North Carolina,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,18.0,10.0,85.0,5.0,4.0,0.0,37,081,010100,101,Guilford County
Census Tract 102; Guilford County; North Carolina,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,37,081,010200,102,Guilford County
Census Tract 103; Guilford County; North Carolina,209.0,38.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,171.0,0.0,61.0,0.0,110.0,0.0,0.0,0.0,37,081,010300,103,Guilford County
Census Tract 104.01; Guilford County; North Carolina,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,37,081,010401,104.01,Guilford County
Census Tract 104.03; Guilford County; North Carolina,30.0,20.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,37,081,010403,104.03,Guilford County
Census Tract 104.04; Guilford County; North Carolina,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,37,081,010404,104.04,Guilford County
Census Tract 105; Guilford County; North Carolina,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,37,081,010500,105,Guilford County
Census Tract 106.01; Guilford County; North Carolina,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,37,081,010601,106.01,Guilford County
Census Tract 106.02; Guilford County; North Carolina,172.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,143.0,55.0,0.0,0.0,88.0,0.0,0.0,0.0,37,081,010602,106.02,Guilford County
Census Tract 107.01; Guilford County; North Carolina,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,37,081,010701,107.01,Guilford County
Census Tract 107.02; Guilford County; North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,081,010702,107.02,Guilford County
Census Tract 108; Guilford County; North Carolina,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,37,081,010800,108,Guilford County
Census Tract 109; Guilford County; North Carolina,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,37,081,010900,109,Guilford County
Census Tract 110; Guilford County; North Carolina,335.0,214.0,42.0,66.0,39.0,67.0,0.0,0.0,0.0,121.0,0.0,59.0,0.0,62.0,0.0,0.0,0.0,37,081,011000,110,Guilford County
