NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,Census Tract,County
Census Tract 101; Guilford County; North Carolina,153.0,47.0,0.0,8.0,6.0,33.0,0.0,0.0,0.0,106.0,0.0,11.0,22.0,73.0,0.0,0.0,0.0,37,081,010100,101,Guilford County
Census Tract 102; Guilford County; North Carolina,162.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,144.0,22.0,0.0,0.0,93.0,0.0,29.0,0.0,37,081,010200,102,Guilford County
Census Tract 103; Guilford County; North Carolina,120.0,48.0,0.0,0.0,0.0,15.0,19.0,14.0,0.0,72.0,4.0,3.0,5.0,60.0,0.0,0.0,0.0,37,081,010300,103,Guilford County
Census Tract 104.01; Guilford County; North Carolina,93.0,18.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,75.0,25.0,16.0,0.0,34.0,0.0,0.0,0.0,37,081,010401,104.01,Guilford County
Census Tract 104.03; Guilford County; North Carolina,59.0,13.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,46.0,0.0,9.0,0.0,37.0,0.0,0.0,0.0,37,081,010403,104.03,Guilford County
Census Tract 104.04; Guilford County; North Carolina,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,11.0,42.0,0.0,0.0,0.0,37,081,010404,104.04,Guilford County
Census Tract 105; Guilford County; North Carolina,23.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,37,081,010500,105,Guilford County
Census Tract 106.01; Guilford County; North Carolina,235.0,112.0,104.0,0.0,0.0,8.0,0.0,0.0,0.0,123.0,15.0,0.0,13.0,78.0,0.0,17.0,0.0,37,081,010601,106.01,Guilford County
Census Tract 106.02; Guilford County; North Carolina,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,0.0,277.0,0.0,364.0,0.0,0.0,0.0,37,081,010602,106.02,Guilford County
Census Tract 107.01; Guilford County; North Carolina,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,22.0,0.0,0.0,40.0,0.0,0.0,0.0,37,081,010701,107.01,Guilford County
Census Tract 107.02; Guilford County; North Carolina,148.0,7.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,141.0,14.0,2.0,0.0,107.0,18.0,0.0,0.0,37,081,010702,107.02,Guilford County
Census Tract 108; Guilford County; North Carolina,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,37,081,010800,108,Guilford County
Census Tract 109; Guilford County; North Carolina,53.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,46.0,26.0,0.0,0.0,10.0,10.0,0.0,0.0,37,081,010900,109,Guilford County
Census Tract 110; Guilford County; North Carolina,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,21.0,0.0,16.0,37,081,011000,110,Guilford County
Census Tract 111.01; Guilford County; North Carolina,172.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,157.0,0.0,37.0,38.0,61.0,21.0,0.0,0.0,37,081,011101,111.01,Guilford County
Census Tract 111.02; Guilford County; North Carolina,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,197.0,0.0,29.0,0.0,0.0,0.0,37,081,011102,111.02,Guilford County
Census Tract 112.01; Guilford County; North Carolina,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,22.0,39.0,0.0,0.0,0.0,37,081,011201,112.01,Guilford County
Census Tract 112.02; Guilford County; North Carolina,250.0,43.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,207.0,0.0,0.0,50.0,134.0,23.0,0.0,0.0,37,081,011202,112.02,Guilford County
Census Tract 113; Guilford County; North Carolina,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,51.0,0.0,0.0,89.0,0.0,0.0,28.0,37,081,011300,113,Guilford County
Census Tract 114; Guilford County; North Carolina,763.0,567.0,0.0,103.0,236.0,228.0,0.0,0.0,0.0,196.0,43.0,0.0,0.0,153.0,0.0,0.0,0.0,37,081,011400,114,Guilford County
Census Tract 115; Guilford County; North Carolina,87.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,81.0,0.0,30.0,0.0,33.0,18.0,0.0,0.0,37,081,011500,115,Guilford County
Census Tract 116.01; Guilford County; North Carolina,590.0,115.0,65.0,0.0,34.0,16.0,0.0,0.0,0.0,475.0,0.0,100.0,86.0,289.0,0.0,0.0,0.0,37,081,011601,116.01,Guilford County
Census Tract 116.02; Guilford County; North Carolina,186.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,142.0,0.0,0.0,8.0,122.0,12.0,0.0,0.0,37,081,011602,116.02,Guilford County
Census Tract 119.04; Guilford County; North Carolina,156.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,139.0,55.0,13.0,11.0,60.0,0.0,0.0,0.0,37,081,011904,119.04,Guilford County
Census Tract 119.05; Guilford County; North Carolina,630.0,59.0,33.0,25.0,0.0,1.0,0.0,0.0,0.0,571.0,55.0,103.0,21.0,298.0,94.0,0.0,0.0,37,081,011905,119.05,Guilford County
Census Tract 125.03; Guilford County; North Carolina,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,144.0,15.0,150.0,28.0,29.0,0.0,37,081,012503,125.03,Guilford County
Census Tract 125.04; Guilford County; North Carolina,204.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,173.0,39.0,50.0,0.0,61.0,23.0,0.0,0.0,37,081,012504,125.04,Guilford County
Census Tract 125.05; Guilford County; North Carolina,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,49.0,47.0,52.0,118.0,0.0,0.0,0.0,37,081,012505,125.05,Guilford County
Census Tract 125.08; Guilford County; North Carolina,134.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,132.0,22.0,4.0,16.0,90.0,0.0,0.0,0.0,37,081,012508,125.08,Guilford County
Census Tract 125.09; Guilford County; North Carolina,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,24.0,0.0,46.0,4.0,0.0,0.0,37,081,012509,125.09,Guilford County
Census Tract 125.10; Guilford County; North Carolina,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,56.0,79.0,41.0,115.0,36.0,0.0,0.0,37,081,012510,125.10,Guilford County
Census Tract 125.11; Guilford County; North Carolina,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,29.0,0.0,0.0,39.0,0.0,0.0,0.0,37,081,012511,125.11,Guilford County
Census Tract 126.04; Guilford County; North Carolina,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,80.0,0.0,8.0,88.0,0.0,0.0,0.0,37,081,012604,126.04,Guilford County
Census Tract 126.07; Guilford County; North Carolina,146.0,73.0,0.0,56.0,0.0,17.0,0.0,0.0,0.0,73.0,0.0,14.0,20.0,39.0,0.0,0.0,0.0,37,081,012607,126.07,Guilford County
Census Tract 126.08; Guilford County; North Carolina,514.0,325.0,0.0,169.0,46.0,110.0,0.0,0.0,0.0,189.0,0.0,31.0,27.0,131.0,0.0,0.0,0.0,37,081,012608,126.08,Guilford County
Census Tract 126.10; Guilford County; North Carolina,82.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,70.0,9.0,19.0,0.0,30.0,12.0,0.0,0.0,37,081,012610,126.10,Guilford County
Census Tract 126.11; Guilford County; North Carolina,804.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,785.0,96.0,144.0,179.0,330.0,36.0,0.0,0.0,37,081,012611,126.11,Guilford County
Census Tract 126.12; Guilford County; North Carolina,320.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,295.0,26.0,0.0,0.0,269.0,0.0,0.0,0.0,37,081,012612,126.12,Guilford County
Census Tract 126.17; Guilford County; North Carolina,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,16.0,0.0,61.0,121.0,17.0,0.0,0.0,37,081,012617,126.17,Guilford County
Census Tract 126.18; Guilford County; North Carolina,245.0,35.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,37,081,012618,126.18,Guilford County
Census Tract 126.19; Guilford County; North Carolina,263.0,228.0,69.0,34.0,28.0,97.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,37,081,012619,126.19,Guilford County
Census Tract 126.20; Guilford County; North Carolina,239.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,224.0,70.0,0.0,29.0,77.0,48.0,0.0,0.0,37,081,012620,126.20,Guilford County
Census Tract 126.21; Guilford County; North Carolina,359.0,241.0,37.0,41.0,26.0,107.0,0.0,30.0,0.0,118.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,37,081,012621,126.21,Guilford County
Census Tract 127.03; Guilford County; North Carolina,511.0,399.0,0.0,158.0,79.0,162.0,0.0,0.0,0.0,112.0,0.0,0.0,13.0,99.0,0.0,0.0,0.0,37,081,012703,127.03,Guilford County
Census Tract 127.04; Guilford County; North Carolina,562.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,22.0,17.0,8.0,466.0,7.0,0.0,0.0,37,081,012704,127.04,Guilford County
Census Tract 127.05; Guilford County; North Carolina,510.0,335.0,81.0,111.0,37.0,83.0,23.0,0.0,0.0,175.0,25.0,11.0,21.0,109.0,9.0,0.0,0.0,37,081,012705,127.05,Guilford County
Census Tract 127.06; Guilford County; North Carolina,214.0,132.0,0.0,67.0,28.0,37.0,0.0,0.0,0.0,82.0,0.0,0.0,11.0,71.0,0.0,0.0,0.0,37,081,012706,127.06,Guilford County
Census Tract 127.07; Guilford County; North Carolina,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,19.0,10.0,4.0,0.0,0.0,0.0,37,081,012707,127.07,Guilford County
Census Tract 128.03; Guilford County; North Carolina,1256.0,55.0,0.0,0.0,23.0,32.0,0.0,0.0,0.0,1201.0,85.0,11.0,70.0,781.0,236.0,18.0,0.0,37,081,012803,128.03,Guilford County
Census Tract 128.04; Guilford County; North Carolina,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,37,081,012804,128.04,Guilford County
Census Tract 128.05; Guilford County; North Carolina,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,24.0,0.0,135.0,172.0,26.0,0.0,0.0,37,081,012805,128.05,Guilford County
Census Tract 136.01; Guilford County; North Carolina,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,32.0,104.0,30.0,0.0,0.0,37,081,013601,136.01,Guilford County
Census Tract 136.02; Guilford County; North Carolina,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,20.0,0.0,105.0,5.0,0.0,0.0,37,081,013602,136.02,Guilford County
Census Tract 137; Guilford County; North Carolina,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,84.0,46.0,41.0,51.0,0.0,0.0,0.0,37,081,013700,137,Guilford County
Census Tract 138; Guilford County; North Carolina,483.0,206.0,29.0,92.0,0.0,46.0,0.0,39.0,0.0,277.0,0.0,129.0,48.0,79.0,13.0,8.0,0.0,37,081,013800,138,Guilford County
Census Tract 139; Guilford County; North Carolina,420.0,268.0,107.0,33.0,14.0,106.0,0.0,8.0,0.0,152.0,0.0,30.0,0.0,100.0,22.0,0.0,0.0,37,081,013900,139,Guilford County
Census Tract 140; Guilford County; North Carolina,635.0,47.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,588.0,149.0,48.0,0.0,378.0,8.0,5.0,0.0,37,081,014000,140,Guilford County
Census Tract 142; Guilford County; North Carolina,433.0,78.0,0.0,68.0,0.0,0.0,0.0,10.0,0.0,355.0,18.0,0.0,5.0,332.0,0.0,0.0,0.0,37,081,014200,142,Guilford County
Census Tract 143; Guilford County; North Carolina,361.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,332.0,21.0,0.0,0.0,37,081,014300,143,Guilford County
Census Tract 144.06; Guilford County; North Carolina,153.0,14.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,139.0,15.0,0.0,60.0,63.0,1.0,0.0,0.0,37,081,014406,144.06,Guilford County
Census Tract 144.07; Guilford County; North Carolina,260.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,245.0,0.0,19.0,37.0,151.0,38.0,0.0,0.0,37,081,014407,144.07,Guilford County
Census Tract 144.08; Guilford County; North Carolina,84.0,78.0,0.0,44.0,0.0,34.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,37,081,014408,144.08,Guilford County
Census Tract 144.09; Guilford County; North Carolina,145.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,97.0,0.0,27.0,0.0,57.0,0.0,13.0,0.0,37,081,014409,144.09,Guilford County
Census Tract 144.10; Guilford County; North Carolina,288.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,277.0,107.0,0.0,11.0,159.0,0.0,0.0,0.0,37,081,014410,144.10,Guilford County
Census Tract 144.11; Guilford County; North Carolina,538.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,521.0,140.0,38.0,13.0,329.0,1.0,0.0,0.0,37,081,014411,144.11,Guilford County
Census Tract 144.12; Guilford County; North Carolina,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,48.0,0.0,77.0,72.0,9.0,0.0,37,081,014412,144.12,Guilford County
Census Tract 145.01; Guilford County; North Carolina,203.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,174.0,0.0,13.0,44.0,117.0,0.0,0.0,0.0,37,081,014501,145.01,Guilford County
Census Tract 145.02; Guilford County; North Carolina,468.0,65.0,0.0,0.0,15.0,50.0,0.0,0.0,0.0,403.0,60.0,37.0,103.0,203.0,0.0,0.0,0.0,37,081,014502,145.02,Guilford County
Census Tract 145.03; Guilford County; North Carolina,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,71.0,30.0,0.0,86.0,0.0,0.0,0.0,37,081,014503,145.03,Guilford County
Census Tract 151; Guilford County; North Carolina,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,73.0,113.0,76.0,251.0,0.0,0.0,0.0,37,081,015100,151,Guilford County
Census Tract 152.01; Guilford County; North Carolina,43.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,37,081,015201,152.01,Guilford County
Census Tract 152.02; Guilford County; North Carolina,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,0.0,0.0,81.0,416.0,15.0,6.0,0.0,37,081,015202,152.02,Guilford County
Census Tract 153.01; Guilford County; North Carolina,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,93.0,49.0,11.0,83.0,29.0,0.0,0.0,37,081,015301,153.01,Guilford County
Census Tract 153.02; Guilford County; North Carolina,281.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,261.0,41.0,74.0,30.0,108.0,8.0,0.0,0.0,37,081,015302,153.02,Guilford County
Census Tract 154.01; Guilford County; North Carolina,651.0,121.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,530.0,53.0,44.0,78.0,339.0,16.0,0.0,0.0,37,081,015401,154.01,Guilford County
Census Tract 154.02; Guilford County; North Carolina,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,7.0,18.0,90.0,4.0,16.0,0.0,37,081,015402,154.02,Guilford County
Census Tract 155; Guilford County; North Carolina,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,0.0,29.0,0.0,263.0,39.0,0.0,0.0,37,081,015500,155,Guilford County
Census Tract 156.01; Guilford County; North Carolina,190.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,166.0,43.0,24.0,13.0,60.0,11.0,0.0,15.0,37,081,015601,156.01,Guilford County
Census Tract 156.02; Guilford County; North Carolina,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,46.0,20.0,79.0,310.0,24.0,0.0,0.0,37,081,015602,156.02,Guilford County
Census Tract 157.03; Guilford County; North Carolina,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,82.0,110.0,0.0,229.0,0.0,0.0,0.0,37,081,015703,157.03,Guilford County
Census Tract 157.04; Guilford County; North Carolina,296.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,287.0,126.0,57.0,5.0,99.0,0.0,0.0,0.0,37,081,015704,157.04,Guilford County
Census Tract 157.05; Guilford County; North Carolina,203.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,191.0,0.0,0.0,47.0,96.0,20.0,0.0,28.0,37,081,015705,157.05,Guilford County
Census Tract 157.06; Guilford County; North Carolina,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,5.0,123.0,90.0,174.0,0.0,0.0,0.0,37,081,015706,157.06,Guilford County
Census Tract 157.07; Guilford County; North Carolina,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,20.0,45.0,59.0,63.0,0.0,0.0,0.0,37,081,015707,157.07,Guilford County
Census Tract 158; Guilford County; North Carolina,493.0,112.0,70.0,16.0,26.0,0.0,0.0,0.0,0.0,381.0,61.0,96.0,71.0,153.0,0.0,0.0,0.0,37,081,015800,158,Guilford County
Census Tract 159.01; Guilford County; North Carolina,956.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,139.0,281.0,63.0,451.0,0.0,0.0,0.0,37,081,015901,159.01,Guilford County
Census Tract 159.02; Guilford County; North Carolina,144.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,10.0,24.0,71.0,22.0,0.0,0.0,37,081,015902,159.02,Guilford County
Census Tract 160.03; Guilford County; North Carolina,257.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,240.0,0.0,29.0,126.0,85.0,0.0,0.0,0.0,37,081,016003,160.03,Guilford County
Census Tract 160.05; Guilford County; North Carolina,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,79.0,49.0,24.0,1.0,0.0,0.0,37,081,016005,160.05,Guilford County
Census Tract 160.06; Guilford County; North Carolina,334.0,73.0,0.0,0.0,26.0,47.0,0.0,0.0,0.0,261.0,37.0,0.0,77.0,147.0,0.0,0.0,0.0,37,081,016006,160.06,Guilford County
Census Tract 160.07; Guilford County; North Carolina,412.0,163.0,71.0,0.0,32.0,60.0,0.0,0.0,0.0,249.0,0.0,0.0,35.0,187.0,19.0,8.0,0.0,37,081,016007,160.07,Guilford County
Census Tract 160.08; Guilford County; North Carolina,773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0,26.0,174.0,381.0,158.0,34.0,0.0,0.0,37,081,016008,160.08,Guilford County
Census Tract 160.09; Guilford County; North Carolina,183.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,178.0,9.0,11.0,71.0,52.0,35.0,0.0,0.0,37,081,016009,160.09,Guilford County
Census Tract 160.10; Guilford County; North Carolina,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,45.0,0.0,9.0,68.0,10.0,0.0,0.0,37,081,016010,160.10,Guilford County
Census Tract 160.11; Guilford County; North Carolina,670.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,651.0,181.0,70.0,146.0,188.0,66.0,0.0,0.0,37,081,016011,160.11,Guilford County
Census Tract 161.01; Guilford County; North Carolina,481.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,468.0,69.0,54.0,0.0,210.0,135.0,0.0,0.0,37,081,016101,161.01,Guilford County
Census Tract 161.02; Guilford County; North Carolina,229.0,69.0,12.0,0.0,0.0,57.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,134.0,26.0,0.0,0.0,37,081,016102,161.02,Guilford County
Census Tract 161.03; Guilford County; North Carolina,411.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,370.0,113.0,30.0,47.0,180.0,0.0,0.0,0.0,37,081,016103,161.03,Guilford County
Census Tract 162.01; Guilford County; North Carolina,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,64.0,86.0,194.0,0.0,0.0,0.0,37,081,016201,162.01,Guilford County
Census Tract 162.03; Guilford County; North Carolina,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,121.0,43.0,4.0,282.0,18.0,4.0,0.0,37,081,016203,162.03,Guilford County
Census Tract 162.04; Guilford County; North Carolina,238.0,48.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,190.0,54.0,35.0,20.0,81.0,0.0,0.0,0.0,37,081,016204,162.04,Guilford County
Census Tract 162.05; Guilford County; North Carolina,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,169.0,75.0,22.0,114.0,41.0,8.0,0.0,37,081,016205,162.05,Guilford County
Census Tract 163.03; Guilford County; North Carolina,189.0,50.0,37.0,9.0,0.0,4.0,0.0,0.0,0.0,139.0,39.0,0.0,40.0,55.0,5.0,0.0,0.0,37,081,016303,163.03,Guilford County
