NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,Census Tract,County
Census Tract 101; Guilford County; North Carolina,371.0,47.0,0.0,0.0,0.0,34.0,3.0,10.0,0.0,324.0,30.0,17.0,56.0,189.0,31.0,0.0,1.0,37,081,010100,101,Guilford County
Census Tract 102; Guilford County; North Carolina,1413.0,196.0,0.0,40.0,0.0,129.0,27.0,0.0,0.0,1217.0,0.0,18.0,20.0,756.0,346.0,58.0,19.0,37,081,010200,102,Guilford County
Census Tract 103; Guilford County; North Carolina,535.0,80.0,0.0,0.0,0.0,50.0,26.0,4.0,0.0,455.0,26.0,6.0,0.0,354.0,41.0,18.0,10.0,37,081,010300,103,Guilford County
Census Tract 104.01; Guilford County; North Carolina,1111.0,79.0,0.0,0.0,0.0,52.0,17.0,0.0,10.0,1032.0,29.0,70.0,29.0,545.0,301.0,50.0,8.0,37,081,010401,104.01,Guilford County
Census Tract 104.03; Guilford County; North Carolina,1080.0,70.0,0.0,0.0,0.0,50.0,20.0,0.0,0.0,1010.0,49.0,25.0,20.0,686.0,183.0,37.0,10.0,37,081,010403,104.03,Guilford County
Census Tract 104.04; Guilford County; North Carolina,2532.0,87.0,0.0,0.0,0.0,8.0,72.0,0.0,7.0,2445.0,56.0,183.0,331.0,1074.0,620.0,168.0,13.0,37,081,010404,104.04,Guilford County
Census Tract 105; Guilford County; North Carolina,1809.0,58.0,0.0,8.0,0.0,36.0,0.0,14.0,0.0,1751.0,66.0,7.0,217.0,895.0,423.0,47.0,96.0,37,081,010500,105,Guilford County
Census Tract 106.01; Guilford County; North Carolina,1915.0,241.0,0.0,0.0,21.0,198.0,5.0,10.0,7.0,1674.0,34.0,69.0,41.0,1056.0,404.0,47.0,23.0,37,081,010601,106.01,Guilford County
Census Tract 106.02; Guilford County; North Carolina,2280.0,531.0,0.0,0.0,0.0,524.0,7.0,0.0,0.0,1749.0,72.0,35.0,133.0,1298.0,178.0,30.0,3.0,37,081,010602,106.02,Guilford County
Census Tract 107.01; Guilford County; North Carolina,1249.0,145.0,0.0,0.0,6.0,109.0,18.0,7.0,5.0,1104.0,63.0,49.0,22.0,613.0,213.0,22.0,122.0,37,081,010701,107.01,Guilford County
Census Tract 107.02; Guilford County; North Carolina,1057.0,274.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,783.0,0.0,0.0,0.0,638.0,131.0,14.0,0.0,37,081,010702,107.02,Guilford County
Census Tract 108; Guilford County; North Carolina,1812.0,183.0,0.0,0.0,0.0,121.0,48.0,0.0,14.0,1629.0,35.0,11.0,47.0,1215.0,229.0,71.0,21.0,37,081,010800,108,Guilford County
Census Tract 109; Guilford County; North Carolina,841.0,117.0,0.0,0.0,0.0,102.0,15.0,0.0,0.0,724.0,13.0,29.0,20.0,506.0,129.0,27.0,0.0,37,081,010900,109,Guilford County
Census Tract 110; Guilford County; North Carolina,40.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,37,081,011000,110,Guilford County
Census Tract 111.01; Guilford County; North Carolina,107.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,105.0,12.0,0.0,0.0,93.0,0.0,0.0,0.0,37,081,011101,111.01,Guilford County
Census Tract 111.02; Guilford County; North Carolina,139.0,73.0,0.0,48.0,0.0,25.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,37,081,011102,111.02,Guilford County
Census Tract 112.01; Guilford County; North Carolina,564.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,523.0,0.0,52.0,38.0,398.0,20.0,0.0,15.0,37,081,011201,112.01,Guilford County
Census Tract 112.02; Guilford County; North Carolina,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,37,081,011202,112.02,Guilford County
Census Tract 113; Guilford County; North Carolina,119.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,115.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,37,081,011300,113,Guilford County
Census Tract 114; Guilford County; North Carolina,262.0,198.0,0.0,0.0,0.0,176.0,0.0,22.0,0.0,64.0,0.0,0.0,0.0,53.0,4.0,7.0,0.0,37,081,011400,114,Guilford County
Census Tract 115; Guilford County; North Carolina,669.0,291.0,0.0,0.0,21.0,226.0,44.0,0.0,0.0,378.0,0.0,0.0,0.0,189.0,152.0,21.0,16.0,37,081,011500,115,Guilford County
Census Tract 116.01; Guilford County; North Carolina,742.0,160.0,0.0,0.0,0.0,94.0,34.0,5.0,27.0,582.0,0.0,4.0,63.0,363.0,111.0,22.0,19.0,37,081,011601,116.01,Guilford County
Census Tract 116.02; Guilford County; North Carolina,723.0,113.0,0.0,0.0,0.0,45.0,66.0,2.0,0.0,610.0,0.0,5.0,46.0,425.0,114.0,15.0,5.0,37,081,011602,116.02,Guilford County
Census Tract 119.04; Guilford County; North Carolina,1541.0,383.0,67.0,0.0,25.0,189.0,84.0,18.0,0.0,1158.0,84.0,57.0,54.0,773.0,171.0,19.0,0.0,37,081,011904,119.04,Guilford County
Census Tract 119.05; Guilford County; North Carolina,614.0,192.0,26.0,0.0,35.0,88.0,20.0,23.0,0.0,422.0,15.0,7.0,15.0,295.0,75.0,10.0,5.0,37,081,011905,119.05,Guilford County
Census Tract 125.03; Guilford County; North Carolina,2923.0,230.0,11.0,10.0,9.0,162.0,38.0,0.0,0.0,2693.0,233.0,248.0,105.0,1398.0,430.0,170.0,109.0,37,081,012503,125.03,Guilford County
Census Tract 125.04; Guilford County; North Carolina,1134.0,88.0,0.0,13.0,16.0,59.0,0.0,0.0,0.0,1046.0,18.0,57.0,78.0,428.0,304.0,134.0,27.0,37,081,012504,125.04,Guilford County
Census Tract 125.05; Guilford County; North Carolina,3436.0,22.0,0.0,0.0,0.0,4.0,6.0,5.0,7.0,3414.0,219.0,197.0,170.0,1607.0,947.0,229.0,45.0,37,081,012505,125.05,Guilford County
Census Tract 125.08; Guilford County; North Carolina,2539.0,250.0,7.0,17.0,24.0,135.0,62.0,5.0,0.0,2289.0,123.0,176.0,205.0,1064.0,478.0,150.0,93.0,37,081,012508,125.08,Guilford County
Census Tract 125.09; Guilford County; North Carolina,2112.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0,2097.0,116.0,75.0,266.0,855.0,436.0,246.0,103.0,37,081,012509,125.09,Guilford County
Census Tract 125.10; Guilford County; North Carolina,2457.0,153.0,0.0,0.0,0.0,28.0,51.0,74.0,0.0,2304.0,75.0,69.0,192.0,998.0,722.0,196.0,52.0,37,081,012510,125.10,Guilford County
Census Tract 125.11; Guilford County; North Carolina,3968.0,98.0,0.0,0.0,0.0,20.0,13.0,53.0,12.0,3870.0,429.0,187.0,227.0,1764.0,773.0,403.0,87.0,37,081,012511,125.11,Guilford County
Census Tract 126.04; Guilford County; North Carolina,617.0,74.0,0.0,0.0,0.0,31.0,9.0,34.0,0.0,543.0,0.0,17.0,7.0,327.0,75.0,19.0,98.0,37,081,012604,126.04,Guilford County
Census Tract 126.07; Guilford County; North Carolina,1394.0,235.0,5.0,4.0,2.0,29.0,195.0,0.0,0.0,1159.0,96.0,54.0,26.0,669.0,276.0,38.0,0.0,37,081,012607,126.07,Guilford County
Census Tract 126.08; Guilford County; North Carolina,470.0,344.0,0.0,68.0,73.0,172.0,31.0,0.0,0.0,126.0,0.0,0.0,0.0,100.0,26.0,0.0,0.0,37,081,012608,126.08,Guilford County
Census Tract 126.10; Guilford County; North Carolina,482.0,90.0,0.0,0.0,19.0,43.0,6.0,22.0,0.0,392.0,13.0,12.0,0.0,148.0,151.0,27.0,41.0,37,081,012610,126.10,Guilford County
Census Tract 126.11; Guilford County; North Carolina,435.0,38.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,397.0,0.0,24.0,14.0,291.0,26.0,42.0,0.0,37,081,012611,126.11,Guilford County
Census Tract 126.12; Guilford County; North Carolina,769.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,751.0,87.0,21.0,0.0,239.0,287.0,102.0,15.0,37,081,012612,126.12,Guilford County
Census Tract 126.17; Guilford County; North Carolina,511.0,52.0,0.0,0.0,0.0,14.0,38.0,0.0,0.0,459.0,17.0,7.0,37.0,217.0,79.0,94.0,8.0,37,081,012617,126.17,Guilford County
Census Tract 126.18; Guilford County; North Carolina,717.0,79.0,0.0,0.0,0.0,75.0,4.0,0.0,0.0,638.0,17.0,14.0,33.0,219.0,81.0,64.0,210.0,37,081,012618,126.18,Guilford County
Census Tract 126.19; Guilford County; North Carolina,1295.0,302.0,0.0,56.0,53.0,180.0,0.0,0.0,13.0,993.0,21.0,0.0,45.0,387.0,177.0,266.0,97.0,37,081,012619,126.19,Guilford County
Census Tract 126.20; Guilford County; North Carolina,406.0,131.0,0.0,0.0,0.0,43.0,71.0,17.0,0.0,275.0,0.0,0.0,0.0,178.0,97.0,0.0,0.0,37,081,012620,126.20,Guilford County
Census Tract 126.21; Guilford County; North Carolina,985.0,231.0,71.0,0.0,0.0,120.0,31.0,9.0,0.0,754.0,26.0,1.0,0.0,449.0,140.0,131.0,7.0,37,081,012621,126.21,Guilford County
Census Tract 127.03; Guilford County; North Carolina,2192.0,207.0,0.0,0.0,16.0,85.0,50.0,56.0,0.0,1985.0,31.0,148.0,158.0,640.0,538.0,355.0,115.0,37,081,012703,127.03,Guilford County
Census Tract 127.04; Guilford County; North Carolina,517.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,495.0,47.0,38.0,2.0,280.0,58.0,34.0,36.0,37,081,012704,127.04,Guilford County
Census Tract 127.05; Guilford County; North Carolina,142.0,139.0,0.0,32.0,21.0,59.0,27.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37,081,012705,127.05,Guilford County
Census Tract 127.06; Guilford County; North Carolina,207.0,59.0,0.0,0.0,0.0,48.0,0.0,0.0,11.0,148.0,15.0,30.0,29.0,74.0,0.0,0.0,0.0,37,081,012706,127.06,Guilford County
Census Tract 127.07; Guilford County; North Carolina,147.0,62.0,0.0,0.0,0.0,38.0,24.0,0.0,0.0,85.0,0.0,14.0,0.0,33.0,33.0,5.0,0.0,37,081,012707,127.07,Guilford County
Census Tract 128.03; Guilford County; North Carolina,1331.0,164.0,0.0,20.0,0.0,112.0,32.0,0.0,0.0,1167.0,95.0,19.0,11.0,690.0,194.0,124.0,34.0,37,081,012803,128.03,Guilford County
Census Tract 128.04; Guilford County; North Carolina,300.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,299.0,0.0,0.0,17.0,147.0,60.0,8.0,67.0,37,081,012804,128.04,Guilford County
Census Tract 128.05; Guilford County; North Carolina,204.0,75.0,0.0,0.0,0.0,54.0,20.0,1.0,0.0,129.0,0.0,0.0,0.0,100.0,29.0,0.0,0.0,37,081,012805,128.05,Guilford County
Census Tract 136.01; Guilford County; North Carolina,363.0,38.0,10.0,0.0,0.0,10.0,18.0,0.0,0.0,325.0,22.0,39.0,20.0,143.0,87.0,7.0,7.0,37,081,013601,136.01,Guilford County
Census Tract 136.02; Guilford County; North Carolina,1406.0,291.0,21.0,40.0,0.0,181.0,48.0,1.0,0.0,1115.0,48.0,0.0,13.0,786.0,211.0,36.0,21.0,37,081,013602,136.02,Guilford County
Census Tract 137; Guilford County; North Carolina,2553.0,103.0,0.0,0.0,0.0,70.0,22.0,0.0,11.0,2450.0,89.0,36.0,184.0,1328.0,762.0,42.0,9.0,37,081,013700,137,Guilford County
Census Tract 138; Guilford County; North Carolina,420.0,203.0,0.0,60.0,0.0,76.0,37.0,30.0,0.0,217.0,0.0,0.0,0.0,178.0,27.0,12.0,0.0,37,081,013800,138,Guilford County
Census Tract 139; Guilford County; North Carolina,215.0,104.0,0.0,0.0,0.0,90.0,14.0,0.0,0.0,111.0,0.0,0.0,0.0,67.0,38.0,0.0,6.0,37,081,013900,139,Guilford County
Census Tract 140; Guilford County; North Carolina,649.0,113.0,0.0,0.0,0.0,71.0,19.0,23.0,0.0,536.0,25.0,12.0,0.0,233.0,139.0,99.0,28.0,37,081,014000,140,Guilford County
Census Tract 142; Guilford County; North Carolina,853.0,80.0,0.0,0.0,0.0,45.0,25.0,10.0,0.0,773.0,4.0,18.0,56.0,492.0,153.0,39.0,11.0,37,081,014200,142,Guilford County
Census Tract 143; Guilford County; North Carolina,519.0,349.0,66.0,34.0,0.0,166.0,64.0,19.0,0.0,170.0,0.0,0.0,0.0,92.0,55.0,23.0,0.0,37,081,014300,143,Guilford County
Census Tract 144.06; Guilford County; North Carolina,305.0,36.0,0.0,0.0,7.0,20.0,4.0,3.0,2.0,269.0,12.0,18.0,10.0,180.0,36.0,9.0,4.0,37,081,014406,144.06,Guilford County
Census Tract 144.07; Guilford County; North Carolina,3560.0,146.0,0.0,0.0,0.0,83.0,48.0,15.0,0.0,3414.0,17.0,182.0,140.0,1630.0,903.0,420.0,122.0,37,081,014407,144.07,Guilford County
Census Tract 144.08; Guilford County; North Carolina,597.0,127.0,0.0,0.0,7.0,64.0,40.0,16.0,0.0,470.0,55.0,57.0,13.0,262.0,68.0,6.0,9.0,37,081,014408,144.08,Guilford County
Census Tract 144.09; Guilford County; North Carolina,1948.0,197.0,0.0,0.0,0.0,38.0,106.0,43.0,10.0,1751.0,22.0,173.0,74.0,711.0,546.0,108.0,117.0,37,081,014409,144.09,Guilford County
Census Tract 144.10; Guilford County; North Carolina,1476.0,192.0,0.0,0.0,0.0,159.0,13.0,10.0,10.0,1284.0,50.0,88.0,62.0,603.0,295.0,168.0,18.0,37,081,014410,144.10,Guilford County
Census Tract 144.11; Guilford County; North Carolina,1054.0,92.0,0.0,0.0,0.0,24.0,68.0,0.0,0.0,962.0,43.0,0.0,73.0,447.0,254.0,60.0,85.0,37,081,014411,144.11,Guilford County
Census Tract 144.12; Guilford County; North Carolina,1344.0,151.0,0.0,0.0,0.0,64.0,34.0,38.0,15.0,1193.0,69.0,105.0,0.0,533.0,273.0,178.0,35.0,37,081,014412,144.12,Guilford County
Census Tract 145.01; Guilford County; North Carolina,368.0,104.0,0.0,0.0,0.0,52.0,11.0,41.0,0.0,264.0,0.0,6.0,7.0,66.0,133.0,52.0,0.0,37,081,014501,145.01,Guilford County
Census Tract 145.02; Guilford County; North Carolina,1617.0,141.0,0.0,15.0,0.0,80.0,46.0,0.0,0.0,1476.0,79.0,15.0,46.0,756.0,459.0,111.0,10.0,37,081,014502,145.02,Guilford County
Census Tract 145.03; Guilford County; North Carolina,530.0,97.0,0.0,0.0,5.0,80.0,12.0,0.0,0.0,433.0,0.0,0.0,19.0,256.0,137.0,11.0,10.0,37,081,014503,145.03,Guilford County
Census Tract 151; Guilford County; North Carolina,3408.0,152.0,0.0,5.0,0.0,55.0,62.0,30.0,0.0,3256.0,79.0,199.0,381.0,1651.0,664.0,259.0,23.0,37,081,015100,151,Guilford County
Census Tract 152.01; Guilford County; North Carolina,4272.0,663.0,31.0,0.0,99.0,299.0,64.0,134.0,36.0,3609.0,144.0,124.0,313.0,1859.0,675.0,429.0,65.0,37,081,015201,152.01,Guilford County
Census Tract 152.02; Guilford County; North Carolina,3694.0,265.0,5.0,4.0,5.0,73.0,110.0,66.0,2.0,3429.0,282.0,633.0,90.0,1689.0,497.0,160.0,78.0,37,081,015202,152.02,Guilford County
Census Tract 153.01; Guilford County; North Carolina,3224.0,211.0,3.0,0.0,0.0,69.0,139.0,0.0,0.0,3013.0,123.0,217.0,194.0,1593.0,620.0,207.0,59.0,37,081,015301,153.01,Guilford County
Census Tract 153.02; Guilford County; North Carolina,1947.0,215.0,0.0,0.0,0.0,173.0,35.0,7.0,0.0,1732.0,44.0,155.0,211.0,754.0,468.0,84.0,16.0,37,081,015302,153.02,Guilford County
Census Tract 154.01; Guilford County; North Carolina,3917.0,387.0,0.0,0.0,0.0,308.0,48.0,31.0,0.0,3530.0,410.0,259.0,248.0,1610.0,826.0,149.0,28.0,37,081,015401,154.01,Guilford County
Census Tract 154.02; Guilford County; North Carolina,2285.0,266.0,0.0,0.0,0.0,167.0,76.0,23.0,0.0,2019.0,63.0,141.0,83.0,1064.0,433.0,143.0,92.0,37,081,015402,154.02,Guilford County
Census Tract 155; Guilford County; North Carolina,2956.0,205.0,0.0,0.0,9.0,108.0,67.0,7.0,14.0,2751.0,312.0,198.0,137.0,1508.0,398.0,103.0,95.0,37,081,015500,155,Guilford County
Census Tract 156.01; Guilford County; North Carolina,4377.0,218.0,17.0,32.0,0.0,98.0,34.0,37.0,0.0,4159.0,256.0,310.0,665.0,2130.0,577.0,202.0,19.0,37,081,015601,156.01,Guilford County
Census Tract 156.02; Guilford County; North Carolina,3744.0,216.0,0.0,0.0,0.0,20.0,180.0,16.0,0.0,3528.0,54.0,229.0,588.0,1760.0,688.0,169.0,40.0,37,081,015602,156.02,Guilford County
Census Tract 157.03; Guilford County; North Carolina,4397.0,425.0,21.0,23.0,43.0,255.0,57.0,26.0,0.0,3972.0,297.0,182.0,127.0,2330.0,826.0,67.0,143.0,37,081,015703,157.03,Guilford County
Census Tract 157.04; Guilford County; North Carolina,3820.0,389.0,43.0,0.0,0.0,245.0,80.0,21.0,0.0,3431.0,99.0,144.0,266.0,1732.0,678.0,378.0,134.0,37,081,015704,157.04,Guilford County
Census Tract 157.05; Guilford County; North Carolina,1357.0,139.0,25.0,0.0,0.0,63.0,32.0,10.0,9.0,1218.0,64.0,16.0,37.0,829.0,146.0,112.0,14.0,37,081,015705,157.05,Guilford County
Census Tract 157.06; Guilford County; North Carolina,3340.0,39.0,0.0,0.0,0.0,37.0,2.0,0.0,0.0,3301.0,296.0,220.0,270.0,1548.0,722.0,226.0,19.0,37,081,015706,157.06,Guilford County
Census Tract 157.07; Guilford County; North Carolina,3608.0,132.0,0.0,0.0,0.0,33.0,73.0,13.0,13.0,3476.0,132.0,285.0,164.0,1523.0,880.0,356.0,136.0,37,081,015707,157.07,Guilford County
Census Tract 158; Guilford County; North Carolina,6922.0,260.0,0.0,0.0,17.0,110.0,104.0,14.0,15.0,6662.0,271.0,410.0,725.0,3640.0,1150.0,368.0,98.0,37,081,015800,158,Guilford County
Census Tract 159.01; Guilford County; North Carolina,4964.0,494.0,24.0,21.0,0.0,204.0,197.0,48.0,0.0,4470.0,160.0,322.0,678.0,2488.0,619.0,164.0,39.0,37,081,015901,159.01,Guilford County
Census Tract 159.02; Guilford County; North Carolina,3909.0,132.0,0.0,0.0,11.0,39.0,59.0,0.0,23.0,3777.0,176.0,436.0,409.0,1914.0,698.0,112.0,32.0,37,081,015902,159.02,Guilford County
Census Tract 160.03; Guilford County; North Carolina,3297.0,27.0,0.0,0.0,0.0,1.0,25.0,1.0,0.0,3270.0,209.0,306.0,306.0,1684.0,595.0,122.0,48.0,37,081,016003,160.03,Guilford County
