FIPS,County,CountySeat,lat,lon
081,Guilford,Greensboro,36.0898,-79.8297
067,Forsyth,Winston-Salem,36.12,-80.1875
171,Surry,Mount Airy,36.4151,-80.6889
151,Randolph,Asheboro,35.6731,-81.1136
057,Davidson,Lexington,35.5622,-80.2591
001,Alamance,Graham,36.0654,-79.4105
157,Rockingham,Wentworth,36.3713,-79.7355
059,Davie,Mocksville,35.9005,-80.5886
036,Caldwell,Lenoir,35.9058,-81.5345
189,Watauga,Boone,36.2168,-81.6746
197,Yadkin,Yadkinville,36.1346,-80.6774
169,Stokes,Danbury,36.4019,-80.1944
005,Alleghany,Sparta,36.3870,-81.1036
033,Caswell,Yanceyville,36.3653,-79.3335
037,Chatham,Pittsboro,35.7214,-79.1770
003,Alexander,Taylorsville,35.9111,-81.1991
097,Iredell,Statesville,35.7831,-80.8890
135,Orange,Hillsborough,36.0784,-79.1008
159,Rowan,Salisbury,35.6695,-80.4742
193,Wilkes,Wilkesboro,36.1585,-81.1098
009,Ashe,Jefferson,36.3871,-81.4630
011,Avery,Newland,36.0726,-81.9837
023,Burke,Morganton,35.7425,-81.6075
