County,tract,pct_food_insecure
Alamance County,201,21.6
Alamance County,202,23.799999999999997
Alamance County,203.01,23.9
Alamance County,203.02,10.100000000000001
Alamance County,204,17.599999999999998
Alamance County,205.01,10.8
Alamance County,205.02,16.400000000000002
Alamance County,206.01,7.3
Alamance County,206.02,10.7
Alamance County,207.01,13.900000000000002
Alamance County,207.02,13.900000000000002
Alamance County,208.01,11.0
Alamance County,208.02,17.1
Alamance County,209.01,12.0
Alamance County,209.02,11.4
Alamance County,210,24.6
Alamance County,211.01,14.2
Alamance County,211.02,16.3
Alamance County,212.01,13.100000000000001
Alamance County,212.04,8.799999999999999
Alamance County,212.05,10.0
Alamance County,212.06,10.6
Alamance County,212.07,16.2
Alamance County,213,9.6
Alamance County,214,14.099999999999998
Alamance County,215,8.3
Alamance County,216,
Alamance County,217.01,10.299999999999999
Alamance County,217.02,
Alamance County,217.03,8.7
Alamance County,218.01,10.100000000000001
Alamance County,218.02,13.4
Alamance County,218.03,9.6
Alamance County,219.01,10.9
Alamance County,219.02,13.3
Alamance County,220.01,9.700000000000001
Alamance County,220.02,12.9
Alexander County,401,18.3
Alexander County,402,17.5
Alexander County,403,17.299999999999997
Alexander County,404,15.7
Alexander County,405,12.4
Alexander County,406,10.7
Alexander County,407,12.1
Alleghany County,9501,15.299999999999999
Alleghany County,9502,16.3
Alleghany County,9503,20.200000000000003
Anson County,9201,12.6
Anson County,9202,13.5
Anson County,9203.01,14.000000000000002
Anson County,9203.02,
Anson County,9204,22.6
Anson County,9205.01,22.900000000000002
Anson County,9205.02,14.099999999999998
Anson County,9206,16.3
Anson County,9800,
Ashe County,9702,10.2
Ashe County,9703,16.0
Ashe County,9704,15.2
Ashe County,9705.01,20.4
Ashe County,9705.02,15.299999999999999
Ashe County,9707.01,13.8
Ashe County,9707.02,12.7
Ashe County,9708.01,18.8
Ashe County,9708.02,16.2
Avery County,9301,15.9
Avery County,9302,13.3
Avery County,9303.01,18.0
Avery County,9303.02,15.9
Avery County,9304,10.299999999999999
Beaufort County,9301.01,8.7
Beaufort County,9301.02,23.7
Beaufort County,9302,16.7
Beaufort County,9303,20.7
Beaufort County,9304,15.6
Beaufort County,9305.01,16.3
Beaufort County,9305.02,10.9
Beaufort County,9306,9.6
Beaufort County,9307,10.299999999999999
Beaufort County,9308,20.0
Beaufort County,9309,9.8
Beaufort County,9310.01,18.8
Beaufort County,9310.02,15.1
Bertie County,9601,12.6
Bertie County,9602,11.5
Bertie County,9603,18.4
Bertie County,9604.01,10.299999999999999
Bertie County,9604.02,25.6
Bladen County,9501.01,14.2
Bladen County,9501.02,13.100000000000001
Bladen County,9502,19.400000000000002
Bladen County,9503.01,18.9
Bladen County,9503.02,17.0
Bladen County,9504.01,22.900000000000002
Bladen County,9504.02,11.1
Bladen County,9505.01,8.4
Bladen County,9505.02,18.6
Bladen County,9506.01,20.599999999999998
Bladen County,9506.02,19.5
Brunswick County,201.01,17.5
Brunswick County,201.02,11.600000000000001
Brunswick County,201.05,9.0
Brunswick County,201.06,14.499999999999998
Brunswick County,201.07,10.4
Brunswick County,201.08,9.700000000000001
Brunswick County,202.01,14.6
Brunswick County,202.03,11.3
Brunswick County,202.04,15.5
Brunswick County,202.05,8.200000000000001
Brunswick County,202.06,8.9
Brunswick County,203.04,15.2
Brunswick County,203.05,10.0
Brunswick County,203.06,10.2
Brunswick County,203.07,
Brunswick County,203.08,7.5
Brunswick County,203.11,10.299999999999999
Brunswick County,203.12,17.1
Brunswick County,203.13,12.2
Brunswick County,203.14,
Brunswick County,203.15,16.2
Brunswick County,203.16,8.5
Brunswick County,204.04,9.6
Brunswick County,204.05,13.3
Brunswick County,204.06,9.6
Brunswick County,204.07,16.2
Brunswick County,204.08,20.9
Brunswick County,204.09,16.0
Brunswick County,205.04,8.0
Brunswick County,205.05,10.9
Brunswick County,205.08,10.6
Brunswick County,205.10,12.2
Brunswick County,205.11,11.1
Brunswick County,205.12,8.9
Brunswick County,205.13,13.8
Brunswick County,205.14,9.8
Brunswick County,205.15,9.2
Brunswick County,205.16,13.0
Brunswick County,205.17,16.2
Brunswick County,205.18,12.4
Brunswick County,206.01,9.700000000000001
Brunswick County,206.02,10.4
Brunswick County,206.03,16.3
Brunswick County,9901,
Buncombe County,1,27.900000000000002
Buncombe County,10,15.2
Buncombe County,11,12.0
Buncombe County,12,9.8
Buncombe County,13,18.2
Buncombe County,14.01,15.6
Buncombe County,14.02,14.099999999999998
Buncombe County,15,15.299999999999999
Buncombe County,16.01,9.9
Buncombe County,16.02,13.200000000000001
Buncombe County,17,7.199999999999999
Buncombe County,18.01,14.499999999999998
Buncombe County,18.02,10.8
Buncombe County,19,12.9
Buncombe County,2,17.9
Buncombe County,20,16.400000000000002
Buncombe County,21.01,6.3
Buncombe County,21.02,13.600000000000001
Buncombe County,22.03,17.5
Buncombe County,22.04,14.899999999999999
Buncombe County,22.05,10.100000000000001
Buncombe County,22.06,10.299999999999999
Buncombe County,23.03,8.799999999999999
Buncombe County,23.04,11.700000000000001
Buncombe County,23.05,12.4
Buncombe County,23.06,11.600000000000001
Buncombe County,24.01,15.7
Buncombe County,24.02,12.3
Buncombe County,25.03,13.600000000000001
Buncombe County,25.04,14.099999999999998
Buncombe County,25.05,13.100000000000001
Buncombe County,25.06,18.0
Buncombe County,26.03,18.2
Buncombe County,26.04,9.700000000000001
Buncombe County,26.06,11.1
Buncombe County,26.07,13.4
Buncombe County,26.08,13.0
Buncombe County,26.09,19.8
Buncombe County,27.01,11.5
Buncombe County,27.02,10.299999999999999
Buncombe County,27.04,13.5
Buncombe County,27.05,11.700000000000001
Buncombe County,28.03,17.7
Buncombe County,28.04,11.200000000000001
Buncombe County,29,10.100000000000001
Buncombe County,3,17.5
Buncombe County,30.02,13.3
Buncombe County,30.03,13.100000000000001
Buncombe County,30.04,7.7
Buncombe County,31.03,12.3
Buncombe County,31.05,15.1
Buncombe County,31.06,12.6
Buncombe County,31.07,11.0
Buncombe County,31.08,
Buncombe County,32.01,10.0
Buncombe County,32.02,10.8
Buncombe County,32.03,10.8
Buncombe County,32.04,12.0
Buncombe County,32.05,18.8
Buncombe County,4,
Buncombe County,5,9.1
Buncombe County,6,15.5
Buncombe County,7,14.899999999999999
Buncombe County,8,11.700000000000001
Buncombe County,9,21.3
Burke County,201,35.0
Burke County,202.02,15.8
Burke County,202.03,15.5
Burke County,202.04,13.0
Burke County,203.01,14.299999999999999
Burke County,203.03,11.200000000000001
Burke County,203.04,11.799999999999999
Burke County,205,14.7
Burke County,206,21.4
