County,TRACTCE,geometry,tract,NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,state,county,Total Households,Total Households with No Vehicle Available,Total Households with 1 Vehicle Available,Total Households with 2 Vehicles Available,Total Households with 3 Vehicles Available,Total Households with 4 or More Vehicles Available,Total 1-Person Households,1-Person Households with No Vehicle Available,1-Person Households with 1 Vehicle Available,1-Person Households with 2 Vehicles Available,1-Person Households with 3 Vehicles Available,1-Person Households with 4 or More Vehicles Available,Total 2-Person Households,2-Person Households with No Vehicle Available,2-Person Households with 1 Vehicle Available,2-Person Households with 2 Vehicles Available,2-Person Households with 3 Vehicles Available,2-Person Households with 4 or More Vehicles Available,Total 3-Person Households,3-Person Households with No Vehicle Available,3-Person Households with 1 Vehicle Available,3-Person Households with 2 Vehicles Available,3-Person Households with 3 Vehicles Available,3-Person Households with 4 or More Vehicles Available,Total 4-or-More-Person Households,4-or-More-Person Households with No Vehicle Available,4-or-More-Person Households with 1 Vehicle Available,4-or-More-Person Households with 2 Vehicles Available,4-or-More-Person Households with 3 Vehicles Available,pct_poverty,pct_no_vehicle,pct_fewer_vehicles
Alamance County,020100,"POLYGON ((-79.458442 36.098954, -79.458016 36.099445, -79.453331 36.102865, -79.452739 36.103539, -79.451837 36.103178, -79.444798 36.102034, -79.43998 36.099243, -79.438601 36.097702, -79.437645 36.098535, -79.434294 36.100613, -79.433213 36.099161, -79.431083 36.096905, -79.429214 36.095076, -79.429194 36.093837, -79.432918 36.091585, -79.437011 36.089038, -79.437845 36.088528, -79.439699 36.087997, -79.441389 36.087522, -79.440379 36.084036, -79.438878 36.082349, -79.439692 36.081459, -79.439755 36.077888, -79.441031 36.076705, -79.443756 36.075682, -79.444273 36.074893, -79.444602 36.075026, -79.446303 36.077244, -79.448143 36.080023, -79.450522 36.081297, -79.453259 36.083982, -79.454932 36.083987, -79.454689 36.082812, -79.456999 36.083678, -79.455588 36.084103, -79.456406 36.086128, -79.455972 36.094494, -79.458144 36.096632, -79.458442 36.098954))",201.00,Census Tract 201; Alamance County; North Carolina,4374.0,1123.0,269.0,92.0,113.0,478.0,126.0,18.0,27.0,37.0,1.0,2004.0,205.0,628.0,784.0,255.0,132.0,735.0,149.0,465.0,113.0,0.0,8.0,781.0,0.0,125.0,452.0,185.0,19.0,204.0,0.0,38.0,33.0,56.0,77.0,284.0,56.0,0.0,186.0,14.0,25.674439871970733,10.229540918163673,29.291417165668662
Alamance County,020200,"POLYGON ((-79.433213 36.099161, -79.429302 36.101488, -79.426631 36.101766, -79.422802 36.10092, -79.419813 36.098642, -79.418313 36.097911, -79.406022 36.095305, -79.406032 36.093322, -79.406295 36.089121, -79.408757 36.083503, -79.408708 36.082861, -79.408579 36.082617, -79.413507 36.084242, -79.417806 36.085736, -79.417828 36.085439, -79.419173 36.083247, -79.422249 36.083479, -79.423456 36.084727, -79.425328 36.08354, -79.425689 36.083853, -79.431994 36.090539, -79.432918 36.091585, -79.429194 36.093837, -79.429214 36.095076, -79.431083 36.096905, -79.433213 36.099161))",202.00,Census Tract 202; Alamance County; North Carolina,4360.0,1936.0,190.0,324.0,290.0,963.0,159.0,10.0,0.0,37.0,1.0,1617.0,123.0,632.0,553.0,254.0,55.0,527.0,123.0,296.0,53.0,55.0,0.0,416.0,0.0,220.0,160.0,17.0,19.0,226.0,0.0,8.0,127.0,91.0,0.0,448.0,0.0,108.0,213.0,91.0,44.403669724770644,7.606679035250464,49.41249226963512
Alamance County,020301,"POLYGON ((-79.419918 36.107511, -79.417831 36.108868, -79.415384 36.109807, -79.415091 36.110045, -79.414556 36.11068, -79.413716 36.112427, -79.413308 36.11314, -79.412437 36.114558, -79.412198 36.114982, -79.41179 36.115581, -79.409124 36.119303, -79.409076 36.1215, -79.408965 36.124389, -79.408625 36.124593, -79.408506 36.124661, -79.40792 36.123916, -79.406148 36.122746, -79.404153 36.121202, -79.402641 36.120209, -79.401957 36.119588, -79.39829 36.11587, -79.396557 36.112411, -79.392442 36.10923, -79.394028 36.106815, -79.393762 36.10539, -79.393377 36.103314, -79.393374 36.102792, -79.396772 36.098581, -79.398679 36.09541, -79.398863 36.093775, -79.406022 36.095305, -79.418313 36.097911, -79.419813 36.098642, -79.419711 36.106325, -79.419918 36.107511))",203.01,Census Tract 203.01; Alamance County; North Carolina,4100.0,1294.0,10.0,93.0,242.0,752.0,80.0,52.0,65.0,37.0,1.0,1601.0,76.0,742.0,626.0,114.0,43.0,605.0,76.0,399.0,130.0,0.0,0.0,561.0,0.0,261.0,293.0,7.0,0.0,85.0,0.0,0.0,29.0,46.0,10.0,350.0,0.0,82.0,174.0,61.0,31.5609756097561,4.747033104309806,38.85071830106184
Alamance County,020302,"POLYGON ((-79.408757 36.083503, -79.406295 36.089121, -79.406032 36.093322, -79.406022 36.095305, -79.398863 36.093775, -79.398679 36.09541, -79.396772 36.098581, -79.393374 36.102792, -79.393377 36.103314, -79.393762 36.10539, -79.394028 36.106815, -79.392442 36.10923, -79.391747 36.109223, -79.386665 36.105902, -79.384918 36.104935, -79.38473 36.104823, -79.382085 36.102459, -79.381543 36.102504, -79.37972 36.101259, -79.37513 36.097569, -79.370832 36.095145, -79.369286 36.09272, -79.369225 36.089732, -79.368171 36.088733, -79.368137 36.088487, -79.370331 36.087723, -79.377873 36.085086, -79.384222 36.082935, -79.385665 36.082603, -79.397834 36.080296, -79.400524 36.080234, -79.403657 36.080899, -79.408579 36.082617, -79.408708 36.082861, -79.408757 36.083503))",203.02,Census Tract 203.02; Alamance County; North Carolina,3233.0,514.0,166.0,127.0,27.0,161.0,11.0,22.0,0.0,37.0,1.0,1132.0,116.0,299.0,439.0,163.0,115.0,402.0,116.0,162.0,124.0,0.0,0.0,374.0,0.0,77.0,210.0,46.0,41.0,99.0,0.0,13.0,57.0,11.0,18.0,257.0,0.0,47.0,48.0,106.0,15.898546241880606,10.247349823321555,31.625441696113075
Alamance County,020400,"POLYGON ((-79.466128 36.132428, -79.465923 36.133656, -79.465074 36.133179, -79.462211 36.132388, -79.46006 36.132746, -79.459065 36.133745, -79.458903 36.136058, -79.457644 36.137216, -79.454724 36.136587, -79.453829 36.135107, -79.451714 36.134886, -79.449925 36.136018, -79.446316 36.136607, -79.44175 36.135302, -79.440405 36.135721, -79.436944 36.137877, -79.434545 36.141625, -79.433231 36.141589, -79.42914 36.137535, -79.426322 36.136028, -79.424776 36.135415, -79.421404 36.132544, -79.419663 36.132363, -79.414818 36.13033, -79.410207 36.126689, -79.408876 36.124979, -79.408625 36.124593, -79.408965 36.124389, -79.409076 36.1215, -79.409124 36.119303, -79.41179 36.115581, -79.412198 36.114982, -79.412437 36.114558, -79.413308 36.11314, -79.413716 36.112427, -79.414556 36.11068, -79.415091 36.110045, -79.415384 36.109807, -79.417831 36.108868, -79.419918 36.107511, -79.419711 36.106325, -79.419813 36.098642, -79.422802 36.10092, -79.426631 36.101766, -79.429302 36.101488, -79.433213 36.099161, -79.434294 36.100613, -79.434291 36.102706, -79.437172 36.10271, -79.439008 36.10356, -79.438903 36.105698, -79.440962 36.108447, -79.442495 36.111181, -79.441907 36.113634, -79.443265 36.11598, -79.443519 36.116596, -79.444444 36.12182, -79.443903 36.124405, -79.444485 36.126569, -79.444846 36.127678, -79.445089 36.129308, -79.448999 36.127948, -79.453035 36.127577, -79.459025 36.123433, -79.461896 36.125149, -79.464171 36.128005, -79.465979 36.131628, -79.466128 36.132428))",204.00,Census Tract 204; Alamance County; North Carolina,7301.0,2015.0,115.0,370.0,271.0,1083.0,145.0,31.0,0.0,37.0,1.0,2814.0,88.0,1216.0,819.0,366.0,325.0,838.0,74.0,517.0,221.0,26.0,0.0,869.0,14.0,315.0,249.0,223.0,68.0,401.0,0.0,160.0,148.0,42.0,51.0,706.0,0.0,224.0,201.0,75.0,27.59895904670593,3.1272210376687988,40.36958066808813
Alamance County,020501,"POLYGON ((-79.493424 36.104948, -79.490538 36.11055, -79.489978 36.111143, -79.489702 36.111519, -79.489472 36.113444, -79.490543 36.116167, -79.490238 36.118266, -79.490475 36.119171, -79.490362 36.12096, -79.490415 36.121182, -79.490348 36.121408, -79.490407 36.121783, -79.489937 36.1223, -79.490355 36.122506, -79.490634 36.122647, -79.490665 36.122846, -79.49157 36.123119, -79.492203 36.12397, -79.492054 36.124926, -79.490963 36.125709, -79.489811 36.127159, -79.48756 36.127373, -79.485796 36.128571, -79.485032 36.128025, -79.483898 36.129028, -79.481772 36.129631, -79.481165 36.130541, -79.478828 36.130119, -79.476226 36.130649, -79.474721 36.129706, -79.473367 36.129712, -79.471853 36.130916, -79.470691 36.130494, -79.47035 36.131644, -79.46726 36.131749, -79.466683 36.134053, -79.465923 36.133656, -79.466128 36.132428, -79.465979 36.131628, -79.464171 36.128005, -79.461896 36.125149, -79.46261 36.122354, -79.464509 36.119714, -79.469891 36.115981, -79.472493 36.113742, -79.472672 36.113521, -79.472962 36.113213, -79.472576 36.113094, -79.470911 36.112378, -79.468485 36.111217, -79.463399 36.108769, -79.463541 36.108029, -79.463158 36.106378, -79.465175 36.106405, -79.465738 36.104913, -79.467144 36.104991, -79.469402 36.100316, -79.469492 36.097455, -79.47542 36.09884, -79.476495 36.098643, -79.481326 36.097843, -79.481283 36.101046, -79.484842 36.10228, -79.486966 36.104335, -79.487997 36.106484, -79.490998 36.105641, -79.493424 36.104948))",205.01,Census Tract 205.01; Alamance County; North Carolina,3835.0,635.0,41.0,36.0,165.0,323.0,60.0,10.0,0.0,37.0,1.0,1311.0,67.0,266.0,500.0,329.0,149.0,297.0,11.0,143.0,109.0,34.0,0.0,431.0,4.0,89.0,203.0,118.0,17.0,175.0,0.0,26.0,40.0,55.0,54.0,408.0,52.0,8.0,148.0,122.0,16.558018252933508,5.110602593440122,28.83295194508009
Alamance County,020502,"POLYGON ((-79.472672 36.113521, -79.472493 36.113742, -79.469891 36.115981, -79.464509 36.119714, -79.46261 36.122354, -79.461896 36.125149, -79.459025 36.123433, -79.453035 36.127577, -79.448999 36.127948, -79.445089 36.129308, -79.444846 36.127678, -79.444485 36.126569, -79.443903 36.124405, -79.444444 36.12182, -79.443519 36.116596, -79.443265 36.11598, -79.441907 36.113634, -79.442495 36.111181, -79.440962 36.108447, -79.438903 36.105698, -79.439008 36.10356, -79.437172 36.10271, -79.434291 36.102706, -79.434294 36.100613, -79.437645 36.098535, -79.438601 36.097702, -79.43998 36.099243, -79.444798 36.102034, -79.451837 36.103178, -79.452739 36.103539, -79.463399 36.108769, -79.468485 36.111217, -79.470911 36.112378, -79.472576 36.113094, -79.472962 36.113213, -79.472672 36.113521))",205.02,Census Tract 205.02; Alamance County; North Carolina,4107.0,902.0,218.0,122.0,99.0,377.0,86.0,0.0,0.0,37.0,1.0,1431.0,238.0,361.0,615.0,152.0,65.0,344.0,121.0,148.0,75.0,0.0,0.0,362.0,12.0,69.0,221.0,60.0,0.0,283.0,0.0,132.0,133.0,6.0,12.0,442.0,105.0,12.0,186.0,86.0,21.962503043584125,16.63172606568833,53.808525506638716
Alamance County,020601,"POLYGON ((-79.497376 36.099213, -79.496888 36.09953, -79.497197 36.100771, -79.493872 36.100914, -79.493351 36.100987, -79.4927 36.101105, -79.491147 36.101562, -79.489673 36.102251, -79.488894 36.102714, -79.486966 36.104335, -79.484842 36.10228, -79.481283 36.101046, -79.481326 36.097843, -79.476495 36.098643, -79.47542 36.09884, -79.47557 36.098066, -79.473876 36.097374, -79.47211 36.094949, -79.468647 36.092068, -79.467989 36.090577, -79.465899 36.087658, -79.462998 36.086211, -79.463457 36.082589, -79.468301 36.082304, -79.476596 36.081069, -79.480657 36.080895, -79.491558 36.080581, -79.495633 36.080214, -79.496679 36.080318, -79.496385 36.084381, -79.497144 36.088035, -79.497376 36.099213))",206.01,Census Tract 206.01; Alamance County; North Carolina,3266.0,80.0,0.0,0.0,16.0,39.0,7.0,9.0,9.0,37.0,1.0,1414.0,0.0,237.0,733.0,345.0,99.0,373.0,0.0,206.0,94.0,73.0,0.0,584.0,0.0,31.0,450.0,94.0,9.0,194.0,0.0,0.0,48.0,110.0,36.0,263.0,0.0,0.0,141.0,68.0,2.449479485609308,0.0,15.558698727015559
Alamance County,020602,"POLYGON ((-79.47542 36.09884, -79.469492 36.097455, -79.469402 36.100316, -79.467144 36.104991, -79.465738 36.104913, -79.465175 36.106405, -79.463158 36.106378, -79.463541 36.108029, -79.463399 36.108769, -79.452739 36.103539, -79.453331 36.102865, -79.458016 36.099445, -79.458442 36.098954, -79.458144 36.096632, -79.455972 36.094494, -79.456406 36.086128, -79.455588 36.084103, -79.456999 36.083678, -79.458024 36.08337, -79.461139 36.082723, -79.461846 36.08264, -79.463457 36.082589, -79.462998 36.086211, -79.465899 36.087658, -79.467989 36.090577, -79.468647 36.092068, -79.47211 36.094949, -79.473876 36.097374, -79.47557 36.098066, -79.47542 36.09884))",206.02,Census Tract 206.02; Alamance County; North Carolina,2610.0,125.0,0.0,21.0,0.0,40.0,38.0,26.0,0.0,37.0,1.0,1243.0,23.0,761.0,245.0,169.0,45.0,658.0,23.0,583.0,52.0,0.0,0.0,341.0,0.0,122.0,141.0,65.0,13.0,94.0,0.0,50.0,25.0,19.0,0.0,150.0,0.0,6.0,27.0,85.0,4.789272030651341,1.850362027353178,20.353982300884955
Alamance County,020701,"POLYGON ((-79.497795 36.076939, -79.497025 36.080352, -79.496679 36.080318, -79.495633 36.080214, -79.491558 36.080581, -79.480657 36.080895, -79.476596 36.081069, -79.468301 36.082304, -79.463457 36.082589, -79.461846 36.08264, -79.463627 36.080525, -79.466732 36.070078, -79.46775 36.067821, -79.468885 36.065354, -79.471586 36.059689, -79.475794 36.056631, -79.479165 36.051919, -79.482532 36.052986, -79.482997 36.053246, -79.484293 36.054006, -79.485635 36.054853, -79.487066 36.05588, -79.487092 36.055972, -79.487392 36.056179, -79.487411 36.05636, -79.487469 36.05649, -79.487692 36.056665, -79.487777 36.056784, -79.488045 36.057708, -79.487725 36.059349, -79.488315 36.059732, -79.489471 36.059435, -79.491208 36.060673, -79.491718 36.061946, -79.492486 36.062858, -79.492893 36.063284, -79.492576 36.063668, -79.492761 36.063996, -79.493294 36.064144, -79.49306 36.064612, -79.493452 36.065072, -79.493302 36.065312, -79.493531 36.065567, -79.493423 36.066025, -79.494596 36.067999, -79.494665 36.069456, -79.495022 36.070099, -79.497579 36.073483, -79.497795 36.076939))",207.01,Census Tract 207.01; Alamance County; North Carolina,5469.0,751.0,21.0,34.0,66.0,220.0,280.0,65.0,65.0,37.0,1.0,2623.0,193.0,866.0,941.0,478.0,145.0,1031.0,152.0,585.0,276.0,18.0,0.0,992.0,0.0,192.0,476.0,305.0,19.0,306.0,41.0,69.0,58.0,75.0,63.0,294.0,0.0,20.0,131.0,80.0,13.73194368257451,7.357987037743043,25.276401067479984
