NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,state,county,tract,County
Census Tract 201; Alamance County; North Carolina,4374.0,1123.0,269.0,92.0,113.0,478.0,126.0,18.0,27.0,37,1,201,Alamance County
Census Tract 202; Alamance County; North Carolina,4360.0,1936.0,190.0,324.0,290.0,963.0,159.0,10.0,0.0,37,1,202,Alamance County
Census Tract 203.01; Alamance County; North Carolina,4100.0,1294.0,10.0,93.0,242.0,752.0,80.0,52.0,65.0,37,1,203.01,Alamance County
Census Tract 203.02; Alamance County; North Carolina,3233.0,514.0,166.0,127.0,27.0,161.0,11.0,22.0,0.0,37,1,203.02,Alamance County
Census Tract 204; Alamance County; North Carolina,7301.0,2015.0,115.0,370.0,271.0,1083.0,145.0,31.0,0.0,37,1,204,Alamance County
Census Tract 205.01; Alamance County; North Carolina,3835.0,635.0,41.0,36.0,165.0,323.0,60.0,10.0,0.0,37,1,205.01,Alamance County
Census Tract 205.02; Alamance County; North Carolina,4107.0,902.0,218.0,122.0,99.0,377.0,86.0,0.0,0.0,37,1,205.02,Alamance County
Census Tract 206.01; Alamance County; North Carolina,3266.0,80.0,0.0,0.0,16.0,39.0,7.0,9.0,9.0,37,1,206.01,Alamance County
Census Tract 206.02; Alamance County; North Carolina,2610.0,125.0,0.0,21.0,0.0,40.0,38.0,26.0,0.0,37,1,206.02,Alamance County
Census Tract 207.01; Alamance County; North Carolina,5469.0,751.0,21.0,34.0,66.0,220.0,280.0,65.0,65.0,37,1,207.01,Alamance County
Census Tract 207.02; Alamance County; North Carolina,5396.0,539.0,27.0,128.0,33.0,267.0,24.0,60.0,0.0,37,1,207.02,Alamance County
Census Tract 208.01; Alamance County; North Carolina,2069.0,330.0,39.0,25.0,22.0,205.0,29.0,10.0,0.0,37,1,208.01,Alamance County
Census Tract 208.02; Alamance County; North Carolina,5510.0,1238.0,225.0,89.0,165.0,490.0,179.0,69.0,21.0,37,1,208.02,Alamance County
Census Tract 209.01; Alamance County; North Carolina,4040.0,194.0,0.0,0.0,22.0,96.0,47.0,29.0,0.0,37,1,209.01,Alamance County
