County,Facility,Address,City,Zip,Program Type,lat,lon
Alamance County,Alamance County Community Services,N. Mebane St,Burlington,27217,PANTRY,36.0927311,-79.43052039999999
Alamance County,Allied Churches of Alamance County,206 N Fisher Street,Burlington,27217,SHELTER,36.0995233,-79.437028
Alamance County,Allied Churches of Alamance County,206 N Fisher Street,Burlington,27217,SOUP KITCHEN,36.0995233,-79.437028
Alamance County,Amos of Alamance,617 Rauhut St,Burlington,27217,PANTRY,36.1040202,-79.4339191
Alamance County,Blessed Sacrament - Little Portion Food Pantry,328 W David St.,Burlington,27215,PANTRY,36.0955555,-79.4379412
Alamance County,Burlington Assembly of God,903 Tucker St,Burlington,27215,SOUP KITCHEN,36.0813476,-79.4400536
Alamance County,Ebenezer UCC Food Pantry,734 Apple St.,Burlington,27217,PANTRY,36.1055563,-79.4288105
Alamance County,Fresh Manna Food Ministries,802 Chapel Hill Rd,Burlington,27253,PANTRY,36.0739418,-79.44026559999999
Alamance County,Harvest Baptist Church,3741 S Church St,Burlington,27215,PANTRY,36.0818586,-79.5190691
Alamance County,Piedmont Rescue Mission,1519 N Mebane St,Burlington,27217,PANTRY,36.0928411,-79.4110103
Alamance County,The Salvation Army - Alamance,812 N. Anthony Street,Burlington,27217,SOUP KITCHEN,36.0850546,-79.4243185
Alamance County,Trinity Worship Center,3157 S Church Street,Burlington,27215,PANTRY,36.0813336,-79.5001247
Alamance County,Elon First Baptist Church,113 Lynn St,Elon,27244,PANTRY,36.0974517,-79.51341769999999
Alamance County,Burnett's Chapel Christian Church,1957 Burnett's Church Rd,Graham,27253,PANTRY,35.8775967,-79.3653215
Alamance County,DreamAlign Ministries,124 East Pine Street,Graham,27253,PANTRY,36.0680299,-79.3990929
Alamance County,S.A.F.E - Southern Alamance Family Empowerment,5950 US 89 S,Graham,27340,PANTRY,36.0679541,-79.40039209999999
Alamance County,S.A.F.E. @ The Bridge,615 W. Harden St.,Graham,27340,PANTRY,36.0698658,-79.41243759999999
Alamance County,"Stone Soup Menus, INC ",1307 E. Main St.,Graham,27253,SOUP KITCHEN,36.0242826,-79.3573498
Alamance County,We Care / Bridging the Gap CDC,2414 Swann Rd,Green Level,27217,PANTRY,36.1174223,-79.345637
Alamance County,Breakthrough Community Church,703 S Third Street,Mebane,27302,PANTRY,36.0867938,-79.27317180000001
Alamance County,Melfield United Church of Christ,2144 Melfield Dr,Haw River,27258,PANTRY,36.035398,-79.335167
Alexander County,Mt Pisgah - Good Samaritan Food Pantry,9379 NC Hwy 127,Hickory,28601,PANTRY,35.8179708,-81.306313
Alexander County,Hiddenite Community Helpers,45 Fire Dept CT.,Hiddenite,28636,PANTRY,35.902077,-81.09109509999999
