tract_no,_county,pct_poverty,pct_food_insecure,pct_no_vehicle,pct_fewer_vehicles
201,Alamance,28,21.6,3.2,32.42656287
202,Alamance,35,23.8,3.2,32.42656287
203.01,Alamance,32,23.9,3.2,32.42656287
203.02,Alamance,12,10.1,3.2,32.42656287
204,Alamance,24,17.6,3.2,32.42656287
205.01,Alamance,10,10.8,3.2,32.42656287
205.02,Alamance,25,16.4,3.2,32.42656287
206.01,Alamance,4,7.3,3.2,32.42656287
206.02,Alamance,6,10.7,3.2,32.42656287
207.01,Alamance,14,13.9,3.2,32.42656287
207.02,Alamance,13,13.9,3.2,32.42656287
208.01,Alamance,12,11,3.2,32.42656287
208.02,Alamance,24,17.1,3.2,32.42656287
209.01,Alamance,4,12,3.2,32.42656287
209.02,Alamance,14,11.4,3.2,32.42656287
210,Alamance,34,24.6,3.2,32.42656287
211.01,Alamance,10,14.2,3.2,32.42656287
211.02,Alamance,14,16.3,3.2,32.42656287
212.01,Alamance,17,13.1,3.2,32.42656287
212.04,Alamance,9,8.8,3.2,32.42656287
212.05,Alamance,10,10,3.2,32.42656287
212.06,Alamance,4,10.6,3.2,32.42656287
212.07,Alamance,16,16.2,3.2,32.42656287
213,Alamance,0,9.6,3.2,32.42656287
214,Alamance,9,14.1,3.2,32.42656287
215,Alamance,2,8.3,3.2,32.42656287
216,Alamance,0,0,3.2,32.42656287
217.01,Alamance,8,10.3,3.2,32.42656287
217.02,Alamance,9,0,3.2,32.42656287
217.03,Alamance,2,8.7,3.2,32.42656287
218.01,Alamance,7,10.1,3.2,32.42656287
218.02,Alamance,10,13.4,3.2,32.42656287
218.03,Alamance,7,9.6,3.2,32.42656287
219.01,Alamance,7,10.9,3.2,32.42656287
219.02,Alamance,10,13.3,3.2,32.42656287
220.01,Alamance,3,9.7,3.2,32.42656287
220.02,Alamance,9,12.9,3.2,32.42656287
401,Alexander,17,18.3,,
402,Alexander,9,17.5,,
403,Alexander,17,17.3,,
404,Alexander,18,15.7,,
405,Alexander,10,12.4,,
406,Alexander,5,10.7,,
407,Alexander,9,12.1,,
501,Alleghany,18,15.3,,
502,Alleghany,16,16.3,,
503,Alleghany,23,20.2,,
702,Ashe,6,10.2,,
703,Ashe,14,16,,
